Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,455.046216,52.048548,133.463217,14.197144,5.340177,0.000000,0.000000,,,7.230769,240.000000,0.003906,0.070312,0.160156,589.335665,19.330953,4.912740,96.045833,3.150424,0.800644,79.673528,20.248114,613.598370,3.934862,0.000000,0.042969,0.152344,1835.483000,62.162150,15.186958,95.954038,3.249667,0.793933,80.318782,19.622840,1912.877289,4.093127,0.285472,3.783771,73.399636,0.156443,0.111567,0.747353,1.501950,1.191990,110.564052,648.000000,52.881166,99.973062,4.952055,0.111567,0.107775,0.131694,0.144414,0.161487,0.175114,0.200428,0.227712,0.221243,0.245391,0.282931,0.301258,0.298844,0.356202,0.343284,0.333323,0.375985,0.424877,0.426809,0.382445,
2,437.613885,45.455155,138.540292,13.893412,3.637786,0.000000,0.000000,,,9.026316,175.000000,0.003906,0.042969,0.226562,530.901194,12.663831,3.484066,97.044039,2.314836,0.636856,78.310785,21.544817,547.072442,3.634785,0.000000,0.042969,0.152344,1859.982781,14.190861,3.554533,99.053153,0.755733,0.189296,79.815700,19.992269,1877.762317,3.992328,0.292910,2.579657,64.124551,0.159487,0.123560,0.824201,1.198686,1.366327,120.701031,676.000000,51.114374,99.952192,4.814912,0.123560,0.108915,0.119387,0.144922,0.159692,0.184432,0.230910,0.242927,0.247591,0.306396,0.302149,0.346955,0.346057,0.357049,0.381465,0.472804,0.484354,0.441639,0.461900,0.343922,
3,421.967712,41.222367,143.529861,13.784102,3.539357,0.000000,0.000000,,,10.014085,175.000000,0.003906,0.042969,0.214844,341.522996,8.063424,2.269207,97.059338,2.291590,0.644899,77.927667,21.930388,351.870314,3.553410,0.000000,0.042969,0.152344,5554.860646,9.865626,2.661420,99.774678,0.177203,0.047804,78.644616,21.215721,5567.405213,3.706903,0.299557,2.508359,58.159781,0.164183,0.138939,0.819853,1.138910,1.382239,128.461053,701.000000,49.555198,99.945129,4.935714,0.138939,0.113331,0.119311,0.136034,0.152819,0.185918,0.223246,0.238421,0.223013,0.269920,0.310170,0.349175,0.350127,0.364227,0.319710,0.417245,0.441841,0.511977,0.541495,0.512813,
4,409.042649,38.639610,147.963197,13.616303,3.567278,0.000000,0.000000,,,6.672727,135.000000,0.003906,0.042969,0.218750,226.749935,6.000949,1.945447,96.611874,2.556838,0.828901,75.464665,24.464884,234.701933,3.084612,0.000000,0.042969,0.152344,4111.667307,9.117053,2.645941,99.714386,0.221103,0.064168,77.413150,22.466757,4123.444443,3.445675,0.309757,2.527666,54.497824,0.175259,0.145725,0.783850,1.162684,1.397605,131.305414,724.000000,48.947444,99.928483,4.954083,0.145725,0.116371,0.126112,0.139417,0.156611,0.190556,0.193142,0.222107,0.233566,0.237559,0.242422,0.234650,0.277333,0.269817,0.205449,0.230274,0.265462,0.329984,0.385153,0.356969,
5,396.747892,35.402411,152.404973,13.239113,3.516287,0.000000,0.000000,,,7.000000,130.000000,0.003906,0.042969,0.218750,272.657965,4.641872,1.838676,97.677856,1.662919,0.658693,71.611382,28.365734,279.139996,2.524574,0.000000,0.042969,0.152344,5620.143218,5.740800,1.967284,99.862914,0.102007,0.034956,74.410775,25.499423,5627.858230,2.918136,0.316081,2.491723,49.892052,0.191602,0.169498,0.742063,1.092219,1.506036,149.134904,746.000000,49.947940,99.953357,5.061683,0.169498,0.138003,0.162458,0.180522,0.197353,0.214951,0.219306,0.206109,0.207436,0.220073,0.255982,0.210149,0.256860,0.228308,0.262142,0.210276,0.245075,0.260770,0.286171,0.291965,
6,385.125411,31.287091,156.810182,12.557207,3.763456,0.000000,0.000000,,,7.563107,120.000000,0.003906,0.042969,0.218750,327.585461,3.534815,1.440042,98.503971,1.062908,0.433016,71.048653,28.944386,332.560665,2.454661,0.000000,0.042969,0.195312,2781.353400,3.940139,2.543389,99.767244,0.141333,0.091231,60.721373,39.196092,2787.842284,1.549169,0.320782,2.664685,44.107526,0.257131,0.228205,0.674343,1.033484,1.332787,164.276990,769.000000,50.854444,99.923055,5.152948,0.228205,0.196938,0.206000,0.235964,0.240807,0.220369,0.229891,0.244367,0.231678,0.238886,0.264794,0.250110,0.242064,0.224980,0.288618,0.248042,0.245542,0.302462,0.226996,0.350667,
7,375.966772,29.511434,160.546710,12.245880,3.924477,0.000000,0.000000,,,7.254545,110.000000,0.003906,0.101562,0.218750,272.734338,3.362431,1.011082,98.420614,1.213388,0.364865,76.826561,23.101718,277.110990,3.325578,0.000000,0.042969,0.234375,2833.044765,3.440183,3.343003,99.760930,0.121140,0.117718,50.671466,49.240074,2839.833956,1.029070,0.327627,2.777950,41.602960,0.279449,0.257699,0.649423,1.068521,1.225606,167.617347,788.000000,52.801753,99.947673,5.166838,0.257699,0.238267,0.255845,0.248678,0.232733,0.193111,0.229082,0.240213,0.226690,0.211865,0.203779,0.214664,0.238319,0.203367,0.226540,0.242145,0.201914,0.274523,0.299990,0.249850,
8,367.365600,27.141858,164.183311,11.656025,4.117992,0.000000,0.000000,,,5.835714,100.000000,0.003906,0.101562,0.179688,167.474550,3.889234,1.144241,97.075964,2.254379,0.663255,77.098199,22.682850,172.519070,3.398964,0.000000,0.042969,0.265625,1875.930703,3.057190,4.024104,99.623575,0.162356,0.213705,43.130949,56.772216,1883.018861,0.759719,0.339440,2.914546,38.239055,0.341897,0.319426,0.637837,1.017170,1.198513,131.699254,807.000000,54.142976,99.851194,4.806417,0.319426,0.312156,0.359169,0.286508,0.236997,0.237889,0.242855,0.201875,0.223044,0.152375,0.180815,0.162915,0.153044,0.186325,0.188431,0.205553,0.130941,0.200881,0.172348,0.257054,
9,358.668861,23.797538,167.996717,10.759305,4.297271,0.000000,0.000000,,,6.102190,90.000000,0.003906,0.101562,0.179688,93.993133,4.066219,2.411849,93.534541,4.046380,2.400081,62.584576,37.121590,100.490292,1.685935,0.000000,0.042969,0.289062,812.902207,2.745609,4.433275,99.123303,0.334793,0.540583,38.187982,61.661300,820.091928,0.619318,0.352021,3.041101,33.484176,0.483774,0.439851,0.627817,1.018534,1.175481,123.375848,826.000000,53.260207,99.849010,4.687152,0.439851,0.402754,0.431920,0.337273,0.261562,0.250736,0.263881,0.217644,0.226686,0.203953,0.201889,0.203747,0.240975,0.246119,0.307456,0.187973,0.252693,0.224974,0.220254,0.256849,
10,351.369818,20.311319,171.312219,9.578707,4.428270,0.000000,0.000000,,,5.770270,90.000000,0.003906,0.101562,0.265625,74.759383,3.212986,4.625654,90.489147,3.889015,5.598915,40.890289,58.868700,82.616961,0.694602,0.000000,0.042969,0.300781,823.498896,2.642992,4.918404,99.088575,0.318021,0.591813,34.892766,64.932744,831.073509,0.537368,0.367659,3.133767,28.492813,0.562485,0.524686,0.380409,0.986817,1.067620,93.982517,844.000000,52.820279,99.776216,4.296184,0.524686,0.488680,0.474371,0.368816,0.239208,0.190275,0.209629,0.191343,0.184484,0.169419,0.189029,0.183249,0.197916,0.186708,0.250984,0.238483,0.249451,0.278330,0.268456,0.176928,
