Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,464.307776,57.910420,131.069357,14.955854,4.785275,0.000000,0.000000,,,6.084906,225.000000,0.003906,0.078125,0.152344,977.737902,19.677134,2.483662,97.783267,1.967904,0.248390,88.774984,11.205244,999.903080,7.922628,0.000000,0.042969,0.152344,1660.061209,46.554068,5.205886,96.975059,2.719528,0.304110,89.903506,10.053416,1711.843471,8.942583,0.459366,3.394401,81.652625,0.138024,0.089697,0.739307,1.180708,1.627747,144.525707,635.000000,55.607966,99.977771,5.119945,0.089697,0.090335,0.104093,0.123839,0.139789,0.142606,0.163493,0.155164,0.154974,0.177413,0.165272,0.187810,0.195978,0.173308,0.231390,0.165114,0.191066,0.159348,0.150912,0.196785,
2,445.787722,48.976091,136.146242,14.233845,4.195861,0.000000,0.000000,,,6.289720,160.000000,0.003906,0.078125,0.183594,577.489046,8.896795,1.450138,98.239706,1.513481,0.246691,85.978836,14.014163,587.836703,6.135139,0.000000,0.042969,0.152344,3370.575085,20.928605,2.829315,99.299713,0.616573,0.083354,88.045707,11.902803,3394.345245,7.397057,0.448807,2.972670,69.148383,0.152419,0.107037,0.821295,1.382966,1.225227,128.117137,663.000000,53.619448,99.933166,4.747029,0.107037,0.091268,0.101059,0.116153,0.123346,0.136776,0.138388,0.166813,0.193686,0.219464,0.200893,0.203252,0.214487,0.205449,0.156167,0.156467,0.156384,0.209361,0.197014,0.381188,
3,431.058470,46.122902,140.693957,14.150483,4.193530,0.000000,0.000000,,,6.970000,185.000000,0.003906,0.058594,0.238281,267.617960,7.395974,0.877237,97.001173,2.680755,0.317965,89.393448,10.602968,275.891468,8.430984,0.000000,0.042969,0.152344,1551.456373,14.078273,2.231882,98.958985,0.897977,0.142360,86.259716,13.675082,1567.777169,6.307802,0.444240,2.971629,65.066544,0.158797,0.120099,0.834591,1.109813,1.347749,149.604486,687.000000,53.578370,99.929025,4.906675,0.120099,0.077529,0.093084,0.100037,0.115172,0.121342,0.133052,0.155610,0.176606,0.143642,0.191819,0.170937,0.177139,0.183140,0.198000,0.215389,0.163512,0.160911,0.198745,0.186918,
4,415.739316,37.893360,145.487611,12.868042,4.120861,0.000000,0.000000,,,7.210000,155.000000,0.003906,0.058594,0.238281,209.939188,7.514628,0.715317,96.227244,3.444388,0.327871,91.296336,8.690488,218.170217,10.505317,0.000000,0.042969,0.152344,39532.515682,5.137772,1.264054,99.983788,0.012994,0.003197,80.153513,19.720297,39538.925597,4.064518,0.439528,2.919682,53.377324,0.197719,0.176673,0.800447,0.849018,1.599395,137.435294,711.000000,50.761425,99.872538,4.940484,0.176673,0.100042,0.095628,0.118717,0.124238,0.147381,0.159481,0.188296,0.202306,0.232021,0.237137,0.220513,0.215930,0.241446,0.254620,0.208551,0.258099,0.199363,0.206023,0.248755,
5,403.888769,33.024698,149.528039,11.937693,4.173354,0.000000,0.000000,,,5.991935,115.000000,0.003906,0.058594,0.214844,280.696840,6.609329,0.892408,97.395221,2.293282,0.309645,88.041324,11.887558,288.203916,7.406174,0.000000,0.042969,0.152344,5166.264628,4.045568,1.009214,99.902085,0.078231,0.019516,79.896679,19.931151,5171.328128,4.008633,0.431276,2.955574,46.513431,0.256767,0.229440,0.734905,0.815333,1.461800,149.901895,733.000000,49.986265,99.858896,5.077532,0.229440,0.109391,0.102519,0.104917,0.120498,0.135587,0.158825,0.162976,0.202819,0.197208,0.192609,0.222738,0.227548,0.227792,0.234880,0.274825,0.270259,0.190526,0.215996,0.237006,
6,393.374222,29.518804,153.370252,11.277574,4.268195,0.000000,0.000000,,,6.104000,110.000000,0.003906,0.054688,0.214844,296.865948,4.566575,1.155621,98.104541,1.509104,0.381895,79.616850,20.147895,302.601637,3.951621,0.000000,0.042969,0.152344,5122.314352,3.528320,0.837581,99.914677,0.068823,0.016338,80.660956,19.147940,5126.688613,4.212513,0.420916,3.021836,41.560507,0.293241,0.270974,0.656273,0.711946,1.365583,139.953171,753.000000,50.572719,99.787836,4.920380,0.270974,0.134994,0.119332,0.117581,0.130197,0.149471,0.173315,0.186097,0.230650,0.211310,0.238634,0.267325,0.240307,0.237494,0.229636,0.260703,0.265314,0.264272,0.325343,0.309167,
7,384.257963,27.910740,156.948333,11.092294,4.584032,0.000000,0.000000,,,6.911504,105.000000,0.003906,0.054688,0.222656,218.832052,2.660915,1.211953,98.252500,1.194713,0.544150,68.367000,31.138759,222.724156,2.195560,0.000000,0.042969,0.152344,1614.351814,2.521772,0.797357,99.794306,0.155888,0.049290,75.786323,23.962824,1617.679290,3.162662,0.407472,3.244344,39.306165,0.354106,0.323135,0.671076,0.582838,1.406815,160.575184,771.000000,51.383594,99.730928,5.073703,0.323135,0.147997,0.126311,0.112762,0.123232,0.141665,0.165797,0.183410,0.183194,0.217367,0.248035,0.232318,0.235475,0.284699,0.268221,0.266176,0.335389,0.270259,0.280219,0.292409,
8,376.246128,25.543717,160.176786,10.443104,4.693011,0.000000,0.000000,,,5.458904,90.000000,0.003906,0.050781,0.324219,128.742572,1.878927,1.009852,97.792448,1.427227,0.767081,64.652013,34.748016,131.648788,1.860596,0.000000,0.042969,0.152344,674.000742,2.398299,0.776435,99.529858,0.354157,0.114656,75.329927,24.387617,677.184469,3.088860,0.393907,3.321366,35.929232,0.423324,0.395644,0.611331,0.621511,1.427184,158.914449,787.000000,53.951081,99.805974,4.969462,0.395644,0.159978,0.119358,0.097747,0.103735,0.112293,0.123062,0.128248,0.149007,0.160557,0.169241,0.168748,0.174416,0.225666,0.200990,0.222847,0.206369,0.233241,0.266034,0.249850,
9,368.285084,21.654352,163.460612,9.268346,4.772444,0.000000,0.000000,,,5.699301,80.000000,0.003906,0.062500,0.324219,73.505665,1.597115,0.739382,96.904663,2.105524,0.974748,68.022428,31.490864,75.853590,2.160069,0.000000,0.042969,0.398438,781.637499,1.537185,0.744519,99.707705,0.196087,0.094973,67.085470,32.492131,783.928882,2.064668,0.387405,3.377343,30.394552,0.591847,0.562706,0.475684,0.495840,1.514284,150.679343,805.000000,53.848001,99.672971,4.753799,0.562706,0.210981,0.135680,0.093173,0.103215,0.100388,0.104511,0.105602,0.120992,0.121048,0.137737,0.141562,0.155796,0.163335,0.181868,0.188071,0.197204,0.184545,0.173758,0.199363,
10,361.118105,18.039475,166.555997,8.134765,4.998368,0.000000,0.000000,,,5.320513,80.000000,0.003906,0.046875,0.367188,60.646964,1.211128,0.573316,97.130374,1.939706,0.918206,67.594369,31.997404,62.438722,2.112495,0.000000,0.042969,0.398438,69102.704478,1.033149,0.752362,99.997401,0.001495,0.001089,57.529198,41.894040,69104.500346,1.373207,0.387549,3.537044,25.210322,0.710103,0.669094,0.171833,0.431972,1.326030,110.414062,820.000000,50.609088,99.433054,4.389596,0.669094,0.311375,0.204210,0.146022,0.116620,0.162060,0.119559,0.151817,0.148121,0.164930,0.165263,0.172396,0.197053,0.167158,0.190706,0.233597,0.208302,0.225700,0.290780,0.223801,
11,355.305797,15.632830,169.190129,7.323034,5.142273,0.000000,0.000000,,,4.470899,80.000000,0.003906,0.046875,0.351562,59.471759,0.819618,0.483589,97.836376,1.348345,0.795547,62.318813,36.769186,60.786961,1.694865,0.000000,0.042969,0.398438,341.547881,0.871605,0.628467,99.559139,0.254068,0.183194,57.629857,41.553763,343.060300,1.386875,0.390187,3.638513,21.783990,0.817861,0.785187,0.093336,0.408797,1.397626,119.705333,835.000000,51.615119,99.550918,4.540103,0.785187,0.363865,0.275279,0.160848,0.136240,0.144810,0.153574,0.129158,0.158297,0.145372,0.180536,0.169347,0.167632,0.168887,0.151558,0.204274,0.202090,0.215337,0.252456,0.218879,
