Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,441.921178,24.080437,136.166813,7.299761,3.285078,0.000000,0.000000,,,5.175573,105.000000,0.003906,0.062500,0.296875,86.072080,10.909720,0.961917,87.876064,11.138377,0.982077,91.870964,8.100319,97.947127,11.341648,0.003906,0.042969,0.152344,551.970328,11.520831,1.528648,97.689081,2.038985,0.270544,88.232657,11.707199,565.027661,7.536616,0.395985,2.327135,33.856734,0.373576,0.327435,0.749251,1.420896,1.572167,69.651042,668.000000,53.858580,99.860610,4.585877,0.327435,0.253185,0.293530,0.334168,0.350478,0.333098,0.424507,0.466963,0.505253,0.547543,0.535739,0.656449,0.563028,0.597491,0.617315,0.356080,0.439140,0.702763,0.584651,0.595748,
2,436.857487,19.182119,137.609269,6.048728,3.269078,0.000000,0.000000,,,5.496000,85.000000,0.003906,0.062500,0.296875,87.605734,4.704615,0.918356,93.965682,5.046158,0.985027,83.624333,16.323746,93.231627,5.122864,0.003906,0.042969,0.152344,312.172577,10.867616,1.186795,96.279938,3.351779,0.366030,90.100065,9.839351,324.234295,9.157115,0.403743,2.313528,27.032651,0.505265,0.433986,0.498504,1.375134,1.412637,53.586916,677.000000,49.969979,99.846759,4.599789,0.433986,0.333682,0.377443,0.415645,0.462976,0.537748,0.552920,0.698921,0.712286,0.780854,0.703014,0.727728,0.733585,0.990908,0.859730,0.560380,0.977668,0.532989,0.605319,0.813925,
3,431.984178,16.995353,139.110409,5.512986,3.071335,0.000000,0.000000,,,4.929078,75.000000,0.003906,0.062500,0.296875,105.531754,3.746618,0.974976,95.714262,3.398075,0.884275,79.287986,20.632967,110.257084,3.842782,0.000000,0.042969,0.152344,240.369118,5.041038,0.969096,97.558729,2.046009,0.393328,83.809145,16.111586,246.384021,5.201794,0.410642,2.173910,23.915293,0.548723,0.468738,0.147941,1.096454,1.510913,60.231962,685.000000,47.969808,99.842299,4.745139,0.468738,0.352449,0.384397,0.448261,0.523564,0.586181,0.683603,0.703545,0.778248,0.744863,0.849868,0.771521,0.839714,1.056505,0.935884,0.666458,0.778397,1.006074,1.040637,0.685671,
4,426.959932,17.000964,140.751014,5.602189,3.029247,0.000000,0.000000,,,5.809917,80.000000,0.003906,0.101562,0.253906,134.504913,3.677462,0.987844,96.644441,2.642329,0.709786,78.744820,21.152527,139.175014,3.722715,0.000000,0.042969,0.152344,246.864890,5.181298,0.974279,97.565381,2.047741,0.385052,84.109296,15.815718,253.025086,5.318083,0.414809,2.144329,23.912920,0.526701,0.451990,0.211445,1.136175,1.531935,61.220384,693.000000,47.719440,99.834663,4.777874,0.451990,0.337040,0.367234,0.424818,0.495377,0.543953,0.583763,0.719026,0.702510,0.856853,0.927941,0.954014,0.844293,1.148345,1.053667,1.083207,0.865655,0.729423,0.636805,0.921123,
5,421.676807,16.298665,142.500750,5.487538,3.043580,0.000000,0.000000,,,5.085714,65.000000,0.003906,0.042969,0.195312,140.946545,3.820733,0.924628,96.740079,2.622399,0.634628,80.443614,19.467574,145.696124,4.132185,0.000000,0.042969,0.152344,216.199933,5.414563,0.905668,97.157815,2.433244,0.406997,85.611721,14.319856,222.524491,5.978532,0.420441,2.154244,22.922997,0.515843,0.451317,0.121097,1.139078,1.543445,65.253691,702.000000,48.362130,99.869462,4.864215,0.451317,0.325844,0.359051,0.428858,0.488034,0.566417,0.630764,0.711866,0.702847,0.752075,0.907547,0.738406,0.994919,1.077993,1.277798,1.287940,0.669911,1.219629,1.601886,1.689494,
6,416.868589,15.594558,144.129845,5.346130,3.166622,0.000000,0.000000,,,4.384146,70.000000,0.007812,0.050781,0.152344,126.492968,3.973312,0.822348,96.345421,3.026338,0.626354,82.809474,17.138892,131.291105,4.831670,0.000000,0.042969,0.152344,197.686364,5.327084,0.861052,96.962847,2.612872,0.422336,86.030315,13.905657,203.878465,6.186713,0.426321,2.241187,21.918365,0.536036,0.472652,0.096324,1.017405,1.633635,68.875415,709.000000,49.404086,99.892389,4.922127,0.472652,0.361943,0.429093,0.464121,0.549968,0.585246,0.619821,0.731983,0.731502,0.821068,0.782014,0.850736,0.965918,0.867152,1.219734,0.964540,0.761545,1.413001,0.776567,1.955197,
7,410.888003,16.616552,146.264718,5.937690,3.128813,0.000000,0.000000,,,4.899329,75.000000,0.011719,0.050781,0.152344,145.398072,4.229040,0.758972,96.682369,2.812098,0.504678,84.762229,15.212008,150.387370,5.572060,0.000000,0.042969,0.152344,213.481241,4.963044,0.803358,97.368171,2.263630,0.366409,86.009766,13.922226,219.251567,6.177874,0.431417,2.215005,23.336265,0.524885,0.469621,0.113949,1.052860,1.628837,84.031984,720.000000,49.599012,99.859601,5.086507,0.469621,0.327380,0.375327,0.410487,0.443488,0.524799,0.574491,0.642401,0.770644,0.802796,0.791673,0.905359,1.093167,1.010217,1.249756,1.052633,0.723805,1.020686,1.266958,0.935277,
8,404.674453,17.960306,148.562427,6.666007,3.257301,0.000000,0.000000,,,4.940000,80.000000,0.003906,0.050781,0.152344,190.393062,4.890611,0.784041,97.105384,2.494338,0.399881,86.171654,13.814658,196.068492,6.237697,0.000000,0.042969,0.152344,217.615199,4.649138,0.779448,97.564374,2.084368,0.349453,85.578327,14.347578,223.047810,5.964653,0.433949,2.305476,25.265281,0.457045,0.409246,0.159759,1.050496,1.630192,84.139730,731.000000,48.860447,99.821242,4.990722,0.409246,0.312575,0.314477,0.357801,0.406799,0.426949,0.487125,0.530959,0.570142,0.597842,0.589587,0.679336,0.811261,0.841594,0.983746,0.914830,0.750313,0.922814,1.125319,1.175802,
9,398.773843,18.907116,150.800970,7.183884,3.281353,0.000000,0.000000,,,4.947368,75.000000,0.003906,0.050781,0.152344,175.201481,6.164560,0.819810,96.166001,3.383654,0.449984,88.253904,11.736677,182.186509,7.519497,0.000000,0.042969,0.152344,268.837767,4.114948,0.684932,98.244498,1.503773,0.250303,85.660576,14.258184,273.641550,6.007818,0.435068,2.322632,26.601910,0.458638,0.418825,0.274995,0.912483,1.721782,98.428990,742.000000,48.775018,99.868530,5.023918,0.418825,0.261929,0.286442,0.279691,0.329477,0.342784,0.385481,0.361191,0.409498,0.454627,0.519971,0.462263,0.551750,0.654311,0.531281,0.679042,0.555935,0.681732,0.665786,0.588015,
10,393.216794,20.759235,153.012140,8.063656,3.235031,0.000000,0.000000,,,5.262069,90.000000,0.003906,0.066406,0.152344,129.371404,7.085834,0.766882,94.276967,5.163668,0.558851,90.226078,9.764937,137.224825,9.239801,0.000000,0.042969,0.152344,345.214706,3.773254,0.645129,98.735239,1.079193,0.184514,85.327766,14.588848,349.636777,5.848835,0.432452,2.289387,29.264528,0.375104,0.343893,0.756729,0.902035,1.652805,102.199251,753.000000,48.054936,99.879941,4.968520,0.343893,0.196455,0.230407,0.206154,0.235910,0.259666,0.270969,0.270436,0.309652,0.357566,0.398182,0.385931,0.459297,0.371925,0.448310,0.449700,0.474236,0.487416,0.517144,0.433555,
