Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,457.795776,38.038525,131.947393,10.771532,7.818787,0.000000,0.000000,,,7.431818,220.000000,0.003906,0.062500,0.386719,218.929667,27.310998,2.130694,88.143347,10.995690,0.857840,92.738569,7.235091,248.379117,12.817886,0.000000,0.042969,0.152344,3358.419391,32.135056,2.936905,98.965927,0.946956,0.086545,91.575330,8.369304,3393.510781,10.941809,0.371360,5.540828,52.877577,0.377535,0.364985,0.652683,1.304972,1.385345,127.661894,644.000000,55.813473,99.843237,5.056862,0.364985,0.238880,0.320952,0.320859,0.402171,0.395733,0.422729,0.420717,0.445935,0.472224,0.473714,0.488603,0.532107,0.635298,0.446501,0.710189,0.750827,0.635172,0.521603,0.865979,
2,445.107480,35.723364,135.693876,11.187504,7.764734,0.000000,0.000000,,,8.641026,150.000000,0.003906,0.062500,0.386719,379.603591,24.628694,2.215085,93.393952,6.059403,0.544978,91.725076,8.249682,406.454149,11.118620,0.000000,0.042969,0.152344,850.644753,14.133058,2.196169,98.114539,1.630126,0.253309,86.457729,13.434866,866.991537,6.435325,0.387865,5.495392,50.196268,0.437564,0.416329,0.643904,0.882663,1.247674,113.164467,664.000000,50.493301,99.838778,5.047317,0.416329,0.275302,0.340025,0.316452,0.363927,0.410224,0.451986,0.487787,0.469187,0.465081,0.524192,0.497384,0.578634,0.710759,0.549459,0.592469,0.568352,0.636805,0.633441,0.754813,
3,434.041047,39.012885,139.369105,12.659166,7.842945,0.000000,0.000000,,,10.630769,170.000000,0.003906,0.093750,0.386719,558.587962,17.646585,2.079698,96.588220,3.051359,0.359611,89.435983,10.540275,578.318931,8.485166,0.000000,0.042969,0.152344,1976.032516,12.847696,2.179512,99.244388,0.645264,0.109464,85.396195,14.486803,1991.077327,5.894758,0.403302,5.551531,54.812857,0.421325,0.398211,0.691054,0.813215,1.249482,123.426142,681.000000,50.036119,99.810080,4.944149,0.398211,0.234500,0.249028,0.258435,0.292595,0.314895,0.338782,0.335430,0.396241,0.367930,0.435507,0.344735,0.397401,0.411560,0.430478,0.415378,0.561154,0.321680,0.581105,0.458332,
4,421.580797,40.020543,143.603922,13.568715,7.925139,0.000000,0.000000,,,11.483871,175.000000,0.003906,0.042969,0.386719,649.725736,10.305242,1.624740,98.196507,1.557486,0.245556,86.359417,13.615559,661.658705,6.342701,0.000000,0.042969,0.152344,887.592416,10.560318,1.961091,98.606942,1.173197,0.217867,84.217355,15.639483,900.131777,5.384919,0.418818,5.609191,56.263565,0.374562,0.353868,0.746095,0.850654,1.350167,122.521611,702.000000,50.593575,99.766436,4.855377,0.353868,0.175749,0.201433,0.175579,0.228737,0.234147,0.259892,0.264825,0.311429,0.323124,0.320355,0.332941,0.336597,0.303602,0.343158,0.328990,0.328854,0.435016,0.395643,0.371077,
5,409.822058,38.517769,147.673432,13.553075,7.815164,0.000000,0.000000,,,6.971429,130.000000,0.003906,0.042969,0.386719,484.068347,6.105108,1.188710,98.515035,1.242479,0.241920,83.670646,16.291302,491.364942,5.135909,0.000000,0.042969,0.152344,2559.654423,8.478920,1.690322,99.603616,0.329939,0.065775,83.237424,16.593868,2569.840851,5.016155,0.435668,5.531007,54.145498,0.417985,0.381308,0.835425,0.703985,1.361929,105.859984,722.000000,51.110996,99.610738,4.599963,0.381308,0.171630,0.165374,0.145070,0.147571,0.175921,0.186720,0.189986,0.230776,0.194266,0.235101,0.198881,0.210936,0.237714,0.264472,0.256302,0.259772,0.226762,0.271886,0.229707,
6,399.404972,37.474355,151.488286,13.545006,7.791967,0.000000,0.000000,,,6.266667,125.000000,0.003906,0.058594,0.191406,283.326637,4.561605,1.107088,98.037660,1.578422,0.383078,80.435729,19.521504,288.997755,4.120365,0.000000,0.042969,0.152344,2722.285073,6.501128,1.514727,99.705706,0.238109,0.055478,80.908297,18.851192,2730.320254,4.291946,0.455221,5.514192,52.678492,0.440996,0.429660,0.818040,0.594648,1.303650,115.700882,742.000000,52.452953,99.651893,4.535447,0.429660,0.170619,0.127388,0.123673,0.115207,0.126823,0.159938,0.135564,0.150440,0.157711,0.163184,0.148227,0.191747,0.215806,0.200675,0.210030,0.207469,0.246096,0.254148,0.323148,
7,388.824305,32.636033,155.340371,12.317252,8.012148,0.000000,0.000000,,,5.146667,110.000000,0.003906,0.058594,0.199219,208.091743,3.338579,1.229004,97.850795,1.569897,0.577913,73.045479,26.889640,212.662291,2.716492,0.000000,0.042969,0.398438,985.604309,3.704136,1.238280,99.498857,0.373940,0.125007,74.617587,24.944396,990.568469,2.991357,0.475933,5.670176,45.711693,0.545319,0.545065,0.746982,0.473679,1.397270,109.634783,762.000000,52.172479,99.624669,4.335358,0.545065,0.177213,0.120899,0.093274,0.076554,0.096945,0.098707,0.095783,0.109893,0.118270,0.136649,0.131257,0.143699,0.176764,0.179343,0.198150,0.219302,0.187004,0.239959,0.242454,
8,378.879740,26.319021,159.094496,10.586548,8.034649,0.000000,0.000000,,,6.000000,95.000000,0.003906,0.058594,0.203125,182.413122,2.220317,1.356752,98.071312,1.193716,0.729435,61.892622,37.820252,186.000491,1.636494,0.000000,0.042969,0.398438,1749.064354,2.873811,1.063445,99.774362,0.163935,0.060664,72.654080,26.885424,1753.019825,2.702359,0.495094,5.685458,36.735551,0.777327,0.766082,0.669505,0.407069,1.188968,161.258586,782.000000,52.203840,99.761292,4.904812,0.766082,0.269854,0.196990,0.112168,0.112781,0.119659,0.126644,0.102089,0.136082,0.141715,0.147643,0.148398,0.155432,0.152980,0.167538,0.173868,0.167835,0.195885,0.199176,0.182230,
9,370.550612,21.703005,162.460420,9.230655,8.039384,0.000000,0.000000,,,5.785714,90.000000,0.003906,0.085938,0.371094,124.873762,1.473689,1.321504,97.789797,1.154059,1.034882,52.215080,46.822952,127.696105,1.115160,0.000000,0.042969,0.398438,911.581599,2.387304,1.016205,99.626249,0.260907,0.111060,69.807666,29.715062,915.001430,2.349235,0.511649,5.688534,30.127937,0.940485,0.948797,0.605735,0.386976,1.166961,101.687128,800.000000,53.368371,99.664147,4.266649,0.948797,0.437361,0.283248,0.162130,0.160918,0.156587,0.180286,0.188321,0.171403,0.159239,0.160191,0.125469,0.151083,0.166487,0.170059,0.164205,0.163056,0.191022,0.163176,0.227634,
10,363.927557,19.270545,165.315996,8.483336,7.869842,0.000000,0.000000,,,5.221519,80.000000,0.003906,0.089844,0.367188,62.684305,1.156247,1.154369,96.386872,1.777910,1.775022,49.206940,49.127026,65.034069,1.001627,0.000000,0.042969,0.398438,676.967265,2.264877,1.055300,99.510002,0.332923,0.155123,67.943652,31.657753,680.300728,2.146193,0.525950,5.568433,26.651186,1.008385,1.037449,0.528934,0.415209,1.069254,99.512749,815.000000,54.130022,99.615457,4.234365,1.037449,0.488527,0.420564,0.239221,0.270894,0.209349,0.257425,0.217376,0.200797,0.190710,0.150647,0.151456,0.191880,0.187744,0.210024,0.200063,0.221139,0.218407,0.220934,0.191678,
11,358.020282,16.391979,167.929782,7.478032,7.804397,0.000000,0.000000,,,4.988095,75.000000,0.003906,0.089844,0.367188,32.891148,1.090635,0.924428,94.135520,3.121432,2.645743,53.226065,45.114707,34.940210,1.179794,0.000000,0.042969,0.398438,345.629726,2.245458,0.968537,99.075364,0.643665,0.277633,69.612764,30.026173,348.855368,2.318403,0.540239,5.522090,22.463568,1.098875,1.143245,0.172262,0.378500,1.046359,73.051563,828.000000,52.613275,99.522097,4.025996,1.143245,0.589291,0.497995,0.284308,0.350436,0.339999,0.338811,0.255407,0.267390,0.275564,0.259633,0.232734,0.172180,0.252899,0.305214,0.194010,0.211496,0.236694,0.247447,0.285837,
12,352.720588,13.620144,170.355794,6.474980,7.753374,0.000000,0.000000,,,4.497354,65.000000,0.003906,0.097656,0.257812,29.248085,1.278343,0.710726,93.578213,4.090013,2.273944,63.689641,35.409829,31.255229,1.798643,0.000000,0.042969,0.152344,121.570438,2.032783,0.970254,97.581271,1.631659,0.778796,67.459362,32.198574,124.583783,2.095104,0.555496,5.485840,18.435626,1.209151,1.280984,0.039419,0.381654,1.085156,52.489067,839.000000,48.463341,99.443362,3.997241,1.280984,0.674975,0.596563,0.443009,0.437824,0.388235,0.415215,0.391922,0.360313,0.252713,0.320478,0.395368,0.294800,0.284265,0.360604,0.355068,0.252309,0.292514,0.323313,0.368819,
13,348.355496,12.027722,172.441889,5.920158,7.651193,0.000000,0.000000,,,4.159420,55.000000,0.003906,0.097656,0.164062,31.696864,1.735424,0.594621,93.130360,5.098947,1.747090,74.224373,25.432047,34.034942,2.918537,0.000000,0.042969,0.152344,97.031398,1.852515,1.051115,97.087211,1.853581,1.051720,63.635945,36.106963,99.942513,1.762429,0.573321,5.413443,16.111433,1.337702,1.471213,0.006752,0.389986,0.778188,41.541825,850.000000,45.638817,99.235724,3.823994,1.471213,0.855734,0.776255,0.497279,0.549378,0.538621,0.524179,0.423687,0.472628,0.340974,0.335546,0.299200,0.324115,0.342863,0.377525,0.384978,0.413498,0.490965,0.365756,0.338921,
14,344.852842,11.523659,174.179641,5.767511,7.532797,0.000000,0.000000,,,3.954545,45.000000,0.003906,0.101562,0.164062,29.029101,2.204146,0.562160,91.278166,6.930645,1.767637,79.463161,20.266799,31.802897,3.920854,0.000000,0.042969,0.152344,101.124797,1.831050,1.030831,97.243189,1.760766,0.991263,63.869670,35.956862,103.991650,1.776286,0.595678,5.329690,15.369219,1.328002,1.450297,0.007083,0.363896,0.734612,42.936795,859.000000,46.552843,99.209518,3.885298,1.450297,0.868246,0.762174,0.642782,0.601357,0.591176,0.534791,0.510834,0.390630,0.368803,0.448126,0.369661,0.452789,0.455294,0.431435,0.396356,0.356010,0.373881,0.460291,0.357270,
15,341.163609,10.898230,176.047132,5.595700,7.506596,0.000000,0.000000,,,3.602459,45.000000,0.003906,0.097656,0.160156,21.445114,2.259165,0.633616,88.085049,9.279442,2.602556,77.880653,21.842778,24.345918,3.565510,0.000000,0.042969,0.152344,91.260063,1.741151,1.151766,96.923430,1.849202,1.223241,60.105972,39.759907,94.156864,1.511723,0.620285,5.311084,14.447649,1.339200,1.451796,0.000981,0.391226,0.729860,39.662898,866.000000,45.878187,99.005333,3.851001,1.451796,0.934079,0.870638,0.709855,0.674731,0.648977,0.700001,0.541767,0.442630,0.459916,0.437079,0.490372,0.403101,0.499158,0.528814,0.465809,0.466639,0.565577,0.489977,0.609861,
16,337.748210,10.812314,177.828207,5.666859,7.483667,0.000000,0.000000,,,4.092166,50.000000,0.003906,0.140625,0.191406,16.275936,1.821487,0.925462,85.533581,9.572309,4.863503,66.169164,33.619263,19.028708,1.968192,0.000000,0.042969,0.195312,76.520840,1.556911,1.318509,96.374378,1.960856,1.660599,54.083287,45.801773,79.399568,1.180812,0.642128,5.294787,14.335208,1.318480,1.418255,0.002893,0.391753,0.741685,37.717655,877.000000,45.705573,98.731948,3.803672,1.418255,0.925600,0.830760,0.697928,0.709957,0.541742,0.617470,0.500746,0.418047,0.448483,0.459372,0.468451,0.388903,0.435957,0.386430,0.491141,0.345451,0.481964,0.613110,0.392890,
17,334.358887,10.229826,179.615629,5.491563,7.209749,0.000000,0.000000,,,4.058824,50.000000,0.003906,0.140625,0.191406,16.069473,1.199879,1.409112,86.017154,6.422747,7.542736,45.933047,53.942778,18.681708,0.851514,0.000000,0.042969,0.214844,69.205900,1.400604,1.542727,95.915362,1.941155,2.138130,47.523314,52.345641,72.153092,0.907875,0.660849,5.101006,13.513198,1.317487,1.404831,0.000075,0.390908,0.669772,35.864470,886.000000,44.295055,98.490063,3.810443,1.404831,0.949711,0.934965,0.716276,0.703170,0.480805,0.563678,0.424604,0.398604,0.388877,0.373918,0.385601,0.326281,0.370022,0.374506,0.264627,0.351675,0.369401,0.426046,0.295225,
18,331.164093,10.488296,181.363103,5.828215,9.402074,4.000000,0.441989,,,3.922078,75.000000,0.003906,0.144531,0.191406,17.612550,0.754186,1.809780,87.288438,3.737774,8.969336,29.404521,70.560454,20.177414,0.416728,0.000000,0.042969,0.253906,64.231970,1.490280,1.940354,94.916479,2.202208,2.867288,43.320516,56.403589,67.672095,0.768045,0.679600,6.652017,13.234473,1.314957,1.411823,0.005855,0.345310,0.531108,37.724252,837.000000,45.788948,98.626032,3.804818,1.411823,0.956688,0.966361,0.794522,0.697075,0.588727,0.493268,0.366022,0.362508,0.271089,0.275972,0.267133,0.282920,0.297181,0.269887,0.258101,0.248846,0.364227,0.328717,0.297494,
19,329.714865,10.496149,182.161799,5.871643,9.479902,4.000000,0.440044,,,4.117647,75.000000,0.003906,0.144531,0.191406,18.851015,0.640716,1.908484,88.085365,2.993883,8.917796,25.127778,74.847410,21.400848,0.335720,0.000000,0.042969,0.257812,56.612689,1.318133,2.066139,94.344310,2.196652,3.443194,38.839682,60.880183,60.006469,0.637969,0.688474,6.707054,13.223175,1.316112,1.421147,0.004901,0.285557,0.515924,38.345340,794.000000,45.770823,98.554773,3.883785,1.421147,0.979654,0.967494,0.718326,0.745145,0.633099,0.488028,0.374624,0.302220,0.304267,0.290500,0.232746,0.248075,0.271690,0.292208,0.250984,0.280687,0.272877,0.279829,0.241703,
