Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,475.103847,56.802526,127.884708,13.558501,5.376519,0.000000,0.000000,,,7.887500,270.000000,0.003906,0.093750,0.152344,593.090840,84.924990,10.930490,86.081594,12.326069,1.586459,88.559487,11.398278,688.986822,7.769550,0.000000,0.042969,0.152344,5868.931390,94.852530,13.215196,98.191447,1.586951,0.221100,87.747000,12.225228,5977.029137,7.177535,0.459356,3.822657,79.603882,0.208567,0.125748,0.867652,1.737075,1.212214,84.594776,621.000000,58.615502,99.973542,4.935504,0.125748,0.161029,0.183881,0.206892,0.232567,0.271801,0.300405,0.351564,0.340884,0.356415,0.395308,0.451305,0.533601,0.431649,0.466831,0.432171,0.514203,0.506690,0.488571,0.484265,
2,455.376725,46.536370,133.101297,13.248568,4.139547,0.000000,0.000000,,,8.135802,185.000000,0.003906,0.093750,0.152344,487.579339,49.251228,6.734027,89.693061,9.060050,1.238763,87.902439,12.018733,543.608759,7.313786,0.000000,0.042969,0.152344,1762.395371,48.549053,9.991341,96.784107,2.666131,0.548687,82.904837,17.061724,1820.955347,4.859113,0.479246,2.934174,65.654375,0.205614,0.143097,0.964981,1.704294,1.331644,75.604571,649.000000,51.698935,99.962459,4.769220,0.143097,0.180632,0.208908,0.241286,0.274866,0.317867,0.348272,0.372928,0.372271,0.441250,0.436821,0.483779,0.436389,0.567844,0.557941,0.577973,0.698974,0.603423,0.705712,0.681635,
3,440.491260,42.034499,137.429788,12.853385,3.634904,0.000000,0.000000,,,8.525000,170.000000,0.003906,0.054688,0.152344,374.707159,25.030891,4.724601,92.632531,6.187965,1.167984,83.990377,15.853253,404.509252,5.297990,0.000000,0.042969,0.152344,1196.751895,35.422623,6.386279,96.622928,2.859939,0.515613,84.686939,15.268051,1238.579623,5.546676,0.506948,2.576131,59.310615,0.194035,0.148215,0.911009,1.439216,1.428840,77.223294,672.000000,49.497383,99.961639,4.740019,0.148215,0.171827,0.194053,0.211800,0.255853,0.272550,0.306501,0.332257,0.373799,0.390894,0.444977,0.447694,0.528379,0.635746,0.647168,0.665268,0.523413,0.781987,0.901705,0.785755,
4,427.844430,38.683333,141.356999,12.449365,3.379375,0.000000,0.000000,,,6.203540,150.000000,0.003906,0.050781,0.292969,278.035052,12.579540,3.533459,94.508269,4.275973,1.201075,77.862040,21.870619,294.191243,3.560120,0.000000,0.042969,0.152344,677.807950,28.373626,4.759016,95.337723,3.990919,0.669384,85.600219,14.357446,710.954625,5.962079,0.536007,2.394075,54.605362,0.191861,0.141565,0.798079,1.447075,1.447986,94.970708,691.000000,48.772094,99.951189,4.878020,0.141565,0.145771,0.148318,0.173758,0.199707,0.221864,0.236588,0.246898,0.278213,0.323023,0.304993,0.382566,0.424295,0.411958,0.407039,0.411337,0.445801,0.491746,0.541646,0.389244,
5,416.986762,34.671149,144.856731,11.679578,3.003036,0.000000,0.000000,,,4.067797,110.000000,0.003906,0.070312,0.281250,360.643852,7.518876,2.790329,97.212656,2.026736,0.752142,72.712097,26.984181,370.984464,2.694619,0.000000,0.042969,0.152344,1207.189364,12.697667,3.018837,98.714050,1.038311,0.246856,80.742717,19.196369,1222.915447,4.206145,0.563510,2.127549,48.937474,0.192448,0.132766,0.696937,1.436683,1.506680,120.138566,710.000000,49.061068,99.980646,5.063136,0.132766,0.121393,0.135008,0.145508,0.156238,0.174326,0.207574,0.208656,0.231021,0.252687,0.269511,0.332056,0.294908,0.322500,0.373626,0.363806,0.386852,0.358791,0.463534,0.409048,
6,407.208674,30.156620,148.126548,10.589231,2.862724,0.000000,0.000000,,,3.838542,95.000000,0.003906,0.042969,0.218750,459.404619,6.237801,2.278884,98.176249,1.333038,0.487005,73.093217,26.703471,467.938654,2.737218,0.000000,0.042969,0.152344,1514.220056,6.704799,1.989855,99.428565,0.440259,0.130660,77.044425,22.865301,1522.922566,3.369491,0.589109,2.028164,42.526992,0.212904,0.167131,0.539922,1.187374,1.659736,130.178674,727.000000,51.155507,99.969017,5.120902,0.167131,0.138123,0.139522,0.171363,0.192366,0.206965,0.237141,0.258202,0.306655,0.325261,0.302827,0.349916,0.376040,0.406301,0.422506,0.532129,0.409914,0.482132,0.551338,0.439428,
7,399.166346,25.980574,150.924069,9.405273,2.899306,0.000000,0.000000,,,3.090535,75.000000,0.003906,0.042969,0.269531,351.025715,5.278337,1.709345,98.046513,1.474315,0.477445,75.470933,24.440625,358.019582,3.087930,0.000000,0.042969,0.152344,1887.606124,4.965936,1.605185,99.652746,0.262168,0.084743,75.497299,24.403689,1894.183758,3.093684,0.609436,2.052964,36.633366,0.277426,0.226933,0.435743,1.134201,1.546483,137.646455,741.000000,53.620288,99.966126,5.271352,0.226933,0.163635,0.172385,0.196858,0.220387,0.262937,0.279489,0.306071,0.338128,0.338668,0.363413,0.402259,0.422375,0.470119,0.422795,0.500877,0.506324,0.479993,0.527333,0.664204,
8,391.916233,23.945750,153.634098,8.865101,2.879160,0.000000,0.000000,,,3.355263,75.000000,0.003906,0.042969,0.324219,163.602470,4.776713,1.048083,96.560904,2.819296,0.618596,81.977820,17.987180,169.429306,4.557569,0.000000,0.042969,0.152344,638.752001,5.012698,1.247155,99.028519,0.777141,0.193352,79.995426,19.902793,645.018232,4.019306,0.626822,2.038263,33.774316,0.315275,0.264723,0.437645,1.063092,1.602841,144.410699,755.000000,58.589485,99.965359,5.181084,0.264723,0.176189,0.179664,0.217362,0.249002,0.279727,0.311784,0.363617,0.358773,0.378619,0.414398,0.463628,0.482016,0.478427,0.445102,0.504608,0.637506,0.622709,0.719158,0.544320,
9,384.472406,20.936972,156.494329,8.041345,2.865956,0.000000,0.000000,,,3.295359,80.000000,0.003906,0.042969,0.324219,47.052404,4.507513,0.514367,90.351116,8.655430,0.987700,89.703952,10.236417,52.077280,8.763218,0.000000,0.042969,0.152344,1075.867914,4.127419,0.939288,99.530761,0.381836,0.086895,81.373425,18.518373,1080.940110,4.394199,0.639208,2.029889,29.428915,0.361666,0.311743,0.421749,1.054786,1.635094,141.491009,771.000000,60.771766,99.929319,4.976397,0.311743,0.188301,0.216247,0.244113,0.292839,0.322003,0.345514,0.398055,0.416402,0.458248,0.514624,0.549677,0.556993,0.627983,0.613696,0.615649,0.716161,0.682692,0.629266,0.829053,
10,377.086404,15.437916,159.375833,6.395615,2.954035,0.000000,0.000000,,,3.486842,65.000000,0.003906,0.042969,0.152344,20.516707,3.944872,0.261731,82.968868,15.952931,1.058432,93.669231,6.214689,24.728199,15.072231,0.000000,0.042969,0.152344,322.338265,2.960152,0.757353,98.858272,0.907852,0.232273,79.515619,20.344008,326.060995,3.908552,0.639603,2.091035,21.669000,0.528132,0.475362,0.090186,0.879680,1.588241,104.758221,785.000000,52.674993,99.857417,4.998296,0.475362,0.296859,0.317326,0.355509,0.433224,0.473494,0.499943,0.540323,0.621394,0.617743,0.687506,0.727144,0.659533,0.764080,0.812535,0.948292,0.941549,0.900320,0.845452,0.935275,
