Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,453.847804,40.390573,133.202133,11.342625,7.376411,2.000000,0.303490,,,11.379310,205.000000,0.003906,0.058594,0.152344,247.975216,133.660016,18.291743,61.981583,33.408417,4.572034,87.874296,12.025841,400.078871,7.307123,0.003906,0.042969,0.195312,1319.184502,94.680694,53.347083,89.907744,6.452871,3.635819,63.938838,36.025829,1467.264600,1.774805,0.375032,5.221820,56.807238,0.371277,0.296212,0.901584,1.360845,1.285379,45.933333,650.000000,52.704925,99.942694,4.266915,0.296212,0.341688,0.421764,0.470263,0.487185,0.565208,0.543848,0.632370,0.613118,0.608072,0.736920,0.505481,0.812251,0.803340,1.006089,0.618414,0.525021,0.778273,0.718615,0.670472,
2,440.201298,37.457059,137.291367,11.693119,5.045564,0.000000,0.000000,,,10.656250,170.000000,0.003906,0.058594,0.335938,330.645138,94.258331,12.425367,75.588650,21.548359,2.840558,88.271884,11.636219,437.426966,7.585960,0.000000,0.042969,0.152344,1077.405913,54.227413,15.510727,93.916851,4.726972,1.352061,77.706007,22.226335,1147.191267,3.496123,0.400875,3.572451,52.795145,0.357848,0.281442,0.895306,1.500656,1.028931,46.297694,672.000000,48.799701,99.914943,4.258864,0.281442,0.294472,0.355456,0.409455,0.439809,0.456205,0.492460,0.498569,0.532404,0.682874,0.612461,0.433305,0.776144,0.612394,0.764951,0.697829,0.594676,0.636805,0.773203,0.631604,
3,427.755242,38.404592,141.393773,12.614576,4.636959,0.000000,0.000000,,,11.142857,165.000000,0.003906,0.058594,0.335938,394.642632,56.440268,8.943006,85.779457,12.267847,1.943850,86.268489,13.669311,460.066599,6.311107,0.000000,0.042969,0.152344,1124.716670,46.033333,10.179593,95.236625,3.897923,0.861968,81.831114,18.095745,1180.970741,4.522119,0.425701,3.283228,54.163420,0.312971,0.237568,0.910519,1.500853,1.092230,56.501201,692.000000,49.007910,99.914174,4.317655,0.237568,0.244667,0.266683,0.282009,0.310283,0.347047,0.361787,0.351732,0.340319,0.456310,0.431785,0.429964,0.472729,0.484855,0.491359,0.434657,0.575070,0.366517,0.603423,0.451120,
4,415.488173,36.891564,145.540459,12.805138,4.213328,0.000000,0.000000,,,8.406977,145.000000,0.003906,0.058594,0.218750,388.628568,29.919104,5.497826,91.645223,7.055433,1.296481,84.447892,15.517838,424.057639,5.441988,0.000000,0.042969,0.152344,1130.558233,31.620056,5.849588,96.790099,2.707077,0.500799,84.335211,15.601688,1168.051536,5.405518,0.451623,2.983568,52.020731,0.280600,0.223727,0.846600,1.459324,1.060893,72.724561,713.000000,48.820705,99.932499,4.460996,0.223727,0.197429,0.232372,0.261017,0.273647,0.315315,0.337773,0.407891,0.377478,0.404747,0.385664,0.417796,0.373912,0.484605,0.411243,0.264176,0.309989,0.438672,0.456028,0.431573,
5,405.291913,35.777705,149.165719,12.789594,4.179345,0.000000,0.000000,,,7.551020,145.000000,0.003906,0.062500,0.218750,333.505534,14.473699,2.625731,95.120971,4.128124,0.748899,84.609552,15.349356,350.611994,5.512254,0.000000,0.042969,0.152344,850.938983,20.270242,4.240180,97.198509,2.315368,0.484335,82.647709,17.288456,875.465062,4.780514,0.473730,2.958874,50.473461,0.282404,0.221345,0.811404,1.232775,1.206256,92.213001,730.000000,49.943765,99.925060,4.678650,0.221345,0.159903,0.179450,0.199446,0.203355,0.223638,0.260669,0.272935,0.287883,0.309795,0.369264,0.339061,0.307073,0.355389,0.394321,0.341471,0.406060,0.518459,0.456028,0.558844,
6,395.258204,32.590241,152.791503,12.077329,4.101769,0.000000,0.000000,,,6.837838,100.000000,0.003906,0.062500,0.152344,302.781723,7.199276,1.204171,97.298157,2.313469,0.386957,85.625593,14.321973,311.189578,5.978617,0.000000,0.042969,0.152344,709.065129,12.959943,3.396554,97.743887,1.786515,0.468211,79.185525,20.753019,725.431685,3.815615,0.488930,2.903636,45.961710,0.276589,0.222739,0.702359,1.177242,1.343196,113.189614,749.000000,51.222756,99.861173,4.794925,0.222739,0.128416,0.126393,0.146864,0.167750,0.191905,0.195369,0.217437,0.210597,0.253404,0.249821,0.281653,0.289527,0.310210,0.388798,0.342815,0.455568,0.426038,0.488261,0.488385,
7,385.484867,27.863979,156.430032,10.849867,4.079049,0.000000,0.000000,,,4.630952,85.000000,0.003906,0.074219,0.152344,242.656493,4.196107,0.636682,98.046856,1.695463,0.257255,86.806870,13.171342,247.490335,6.590586,0.000000,0.042969,0.152344,1339.957851,6.890731,1.504210,99.376860,0.511045,0.111558,82.011376,17.902651,1348.360015,4.580963,0.496248,2.887620,39.233348,0.339904,0.307451,0.621629,0.870359,1.484130,149.678030,768.000000,53.486111,99.944356,5.141848,0.307451,0.165568,0.150044,0.155233,0.150929,0.189284,0.188214,0.194169,0.205906,0.221438,0.222117,0.261991,0.247565,0.309812,0.345257,0.330847,0.375747,0.363101,0.426539,0.301877,
8,377.630815,24.698043,159.532842,9.930127,4.046966,0.000000,0.000000,,,4.338798,80.000000,0.003906,0.042969,0.152344,153.931322,3.308866,0.393994,97.650621,2.099071,0.249941,89.345775,10.638589,157.634761,8.398273,0.000000,0.042969,0.152344,1535.810538,4.105822,0.917849,99.673598,0.266467,0.059568,81.637561,18.249932,1540.839868,4.473308,0.506416,2.864458,34.753962,0.389669,0.368659,0.567135,0.822847,1.440117,156.254054,784.000000,56.366749,99.866991,4.976861,0.368659,0.177119,0.173171,0.150303,0.164919,0.165380,0.178828,0.188153,0.218632,0.221601,0.230260,0.253967,0.260894,0.285505,0.294034,0.313348,0.291527,0.381132,0.341926,0.352129,
9,369.714897,20.973461,162.788544,8.864559,4.575405,0.000000,0.000000,,,4.951220,85.000000,0.003906,0.042969,0.261719,76.775231,3.052463,0.365242,95.736919,3.806350,0.455448,89.286347,10.683547,80.193965,8.357369,0.000000,0.042969,0.152344,1227.040236,2.799047,0.782031,99.708452,0.227449,0.063547,78.014252,21.796538,1230.628102,3.579204,0.517362,3.238005,29.431503,0.542768,0.501824,0.512405,0.673278,1.391681,123.809653,802.000000,56.601877,99.801082,4.793974,0.501824,0.241656,0.206507,0.181334,0.178269,0.190703,0.199638,0.194730,0.217710,0.264572,0.279053,0.288498,0.321251,0.329499,0.359401,0.350804,0.350696,0.391643,0.400532,0.407581,
10,363.119278,16.623874,165.571570,7.371031,4.625879,0.000000,0.000000,,,4.802326,70.000000,0.003906,0.042969,0.261719,40.842759,2.724329,0.490822,92.700120,6.183364,1.114011,84.705015,15.260673,44.059014,5.550543,0.000000,0.042969,0.152344,288.046617,2.179112,0.738993,98.994513,0.748907,0.253974,74.481994,25.258757,290.972307,2.948759,0.526110,3.273414,23.237396,0.710561,0.652878,0.191831,0.560104,1.453884,83.702375,815.000000,54.104862,99.522074,4.544846,0.652878,0.351561,0.297732,0.209004,0.200430,0.217422,0.217257,0.214536,0.220656,0.253138,0.255787,0.261835,0.272139,0.343774,0.301831,0.301038,0.310919,0.390448,0.324044,0.369218,
