Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,537.244376,50.021448,112.607303,10.029693,29.398386,57.000000,10.251799,,,12.953488,250.000000,0.003906,0.093750,0.164062,733.771496,59.243471,74.577402,84.519880,6.823992,8.590240,44.082295,55.492073,868.164389,0.794389,0.000000,0.042969,0.398438,3477.931941,48.401561,60.196495,96.956095,1.349315,1.678129,44.328427,55.130783,3587.120477,0.804059,0.302762,20.809523,67.034280,1.086864,1.233425,0.871228,0.510545,1.088413,62.014400,547.000000,51.890751,99.490470,4.263265,1.233425,0.969489,0.756654,0.586998,0.470702,0.424027,0.432501,0.437507,0.465016,0.471029,0.425135,0.611834,0.797913,0.552799,0.674546,0.572180,0.915250,0.997658,0.796303,0.859828,
2,522.419255,44.220607,115.654602,9.561635,29.729034,61.000000,10.645724,,,11.714286,205.000000,0.003906,0.093750,0.371094,444.091945,32.639029,68.246331,81.442738,5.985724,12.515805,32.255428,67.444244,545.281204,0.478253,0.000000,0.042969,0.398438,1090.338326,39.280692,55.954867,91.921252,3.311569,4.717289,40.991116,58.391346,1186.165656,0.702007,0.308962,21.040540,58.830797,1.131143,1.269293,0.893195,0.526907,0.926857,39.731921,563.000000,48.732399,98.891789,3.875680,1.269293,1.015678,0.787954,0.758800,0.582996,0.518516,0.424583,0.536925,0.469571,0.418036,0.491023,0.611918,0.522472,0.585353,0.544823,0.795960,0.575583,0.832983,0.923069,0.704678,
3,508.394141,43.221960,118.855182,9.911088,29.116138,57.000000,9.661017,,,12.847826,210.000000,0.003906,0.093750,0.363281,178.780041,16.463944,61.207641,69.689379,6.417730,23.859053,21.173205,78.715157,256.538434,0.268985,0.000000,0.042969,0.398438,1085.048844,36.159527,57.706968,91.992376,3.065669,4.892500,38.284382,61.098023,1179.498656,0.626606,0.315365,20.606021,57.530446,1.151929,1.326473,0.929793,0.466702,0.917288,36.829954,580.000000,47.755104,98.815515,3.791575,1.326473,1.031102,0.796472,0.700627,0.595218,0.472867,0.540573,0.479177,0.496258,0.441299,0.454598,0.526586,0.489539,0.574769,0.496710,0.512570,0.567065,0.593666,0.953848,0.655503,
4,493.891256,40.402609,122.298373,10.020707,29.497536,60.000000,9.900990,,,12.914894,205.000000,0.003906,0.093750,0.363281,179.484671,12.850122,52.034100,73.393074,5.254543,21.277263,19.748781,79.968890,244.552599,0.246956,0.000000,0.042969,0.378906,890.198169,25.773122,49.575731,92.133862,2.667470,5.130996,33.910803,65.228917,966.200859,0.519874,0.319663,20.875762,53.089210,1.150529,1.330381,0.941140,0.411943,0.969457,31.332146,596.000000,44.874778,98.639032,3.668605,1.330381,1.063911,0.803267,0.694368,0.662554,0.497054,0.522524,0.366363,0.432089,0.625622,0.505282,0.477106,0.478302,0.413623,0.584038,0.662781,0.576283,0.783800,0.925449,0.622965,
5,481.063452,38.214960,125.520623,10.087183,29.398610,58.000000,9.309791,,,13.565217,230.000000,0.003906,0.093750,0.335938,327.120008,13.957025,41.377638,85.423014,3.644690,10.805217,25.003044,74.125174,382.941311,0.337308,0.000000,0.042969,0.378906,818.322956,18.955267,45.901230,92.595716,2.144846,5.193863,28.967631,70.146723,883.758985,0.412958,0.322543,20.804990,49.840561,1.168388,1.313353,0.915946,0.412483,0.891272,31.240110,613.000000,42.775068,98.594440,3.742879,1.313353,1.062107,0.838746,0.716792,0.613907,0.447171,0.405042,0.476959,0.337553,0.398724,0.498820,0.430398,0.422745,0.587246,0.517348,0.549660,0.635172,0.795907,0.585008,0.663084,
6,470.648786,36.824732,128.268846,10.083362,29.022573,52.000000,8.163265,,,11.600000,160.000000,0.003906,0.097656,0.312500,393.133677,13.619918,33.957148,89.043796,3.084877,7.691209,28.156445,70.199582,441.505971,0.401091,0.000000,0.042969,0.359375,1162.644022,12.140260,41.814303,95.520309,0.997417,3.435372,22.265318,76.687710,1217.169451,0.290338,0.325058,20.538458,47.826367,1.159902,1.235713,0.882821,0.371896,0.886328,32.755800,627.000000,42.645226,98.739939,3.812847,1.235713,1.022918,0.840488,0.644751,0.441042,0.412406,0.241382,0.442716,0.257246,0.350471,0.295563,0.293696,0.300491,0.344887,0.338985,0.398649,0.388969,0.321067,0.341968,0.387672,
7,461.273522,36.746289,130.894471,10.341695,28.692173,48.000000,7.384615,,,9.716418,160.000000,0.003906,0.042969,0.339844,367.084491,11.119986,33.780048,88.921749,2.693681,8.182805,24.315040,73.863694,412.817443,0.329188,0.000000,0.042969,0.363281,998.963086,10.790174,39.387634,95.166479,1.027929,3.752273,21.266667,77.630233,1049.700579,0.273948,0.330139,20.304130,47.857087,1.176218,1.258400,0.848316,0.326618,0.804667,34.561601,640.000000,43.697169,98.750722,3.740203,1.258400,0.985478,0.752276,0.519030,0.400683,0.407934,0.277051,0.218666,0.221341,0.233457,0.181970,0.166698,0.212076,0.218245,0.243002,0.235731,0.251576,0.250760,0.266961,0.320083,
8,451.488340,35.942516,133.722825,10.469776,28.609269,50.000000,7.530120,,,9.236111,150.000000,0.003906,0.042969,0.339844,306.615771,7.938287,36.144108,87.288835,2.259909,10.289676,17.778931,80.949907,351.265739,0.219629,0.000000,0.042969,0.371094,1322.252436,8.928284,35.350130,96.722538,0.653102,2.585856,19.927077,78.898110,1367.057223,0.252567,0.337664,20.245543,46.526668,1.195212,1.303636,0.780438,0.321296,0.824025,33.229339,654.000000,45.457038,98.659633,3.784052,1.303636,1.078136,0.796958,0.528973,0.414285,0.292210,0.237568,0.203370,0.216148,0.195305,0.190352,0.188740,0.181027,0.190115,0.237191,0.225070,0.221767,0.224592,0.263067,0.287900,
9,440.984748,34.552379,136.882510,10.570268,28.520077,46.000000,6.774669,,,8.500000,160.000000,0.003906,0.042969,0.335938,204.148040,4.970127,34.958365,83.531610,2.033635,14.303975,12.348720,86.857154,244.396152,0.142173,0.000000,0.042969,0.343750,1008.690981,8.239532,32.479542,96.082807,0.784856,3.093837,20.036189,78.980975,1049.814229,0.253684,0.345775,20.181958,44.429747,1.195444,1.320776,0.736921,0.315890,0.703259,27.564328,666.000000,43.912038,98.178140,3.677406,1.320776,1.101292,0.818388,0.514381,0.442781,0.307485,0.244086,0.202821,0.195932,0.202448,0.209464,0.165947,0.163994,0.190181,0.227910,0.207044,0.223755,0.241493,0.233642,0.300247,
10,430.392951,31.894098,140.170094,10.347251,28.483408,44.000000,6.321839,,,8.712500,150.000000,0.003906,0.042969,0.335938,103.203205,2.721734,30.432469,75.487871,1.990810,22.259796,8.121733,90.811352,136.714950,0.089435,0.000000,0.042969,0.343750,1168.934107,6.219140,29.720297,96.987206,0.516006,2.465912,17.127159,81.848017,1205.245673,0.209256,0.355529,20.155568,40.290039,1.229770,1.364272,0.704058,0.291512,0.687981,22.776529,583.000000,39.386155,97.858737,3.667648,1.364272,1.135152,0.886855,0.564916,0.503852,0.322858,0.280404,0.231583,0.229885,0.245881,0.248094,0.199108,0.220675,0.188700,0.233074,0.200266,0.209322,0.237872,0.338440,0.261230,
11,420.905971,31.134385,143.331775,10.635727,28.728097,38.000000,5.337079,,,10.333333,155.000000,0.003906,0.144531,0.335938,86.814163,1.691758,26.538760,75.078176,1.463058,22.951113,5.870588,92.092430,115.631690,0.063747,0.000000,0.042969,0.343750,747.486377,6.290557,28.475504,95.516347,0.803829,3.638697,17.927988,81.154730,782.574294,0.220911,0.361850,20.328328,39.012034,1.250299,1.426615,0.677846,0.301085,0.702597,21.464088,523.000000,38.507231,97.711268,3.648286,1.426615,1.171700,0.882843,0.680668,0.432708,0.359909,0.312491,0.236851,0.261875,0.234414,0.214250,0.207886,0.177015,0.243863,0.201165,0.196917,0.169605,0.186614,0.242151,0.234055,
12,411.406759,29.616746,146.607261,10.696612,28.266114,30.000000,4.120879,,,10.565217,140.000000,0.003906,0.113281,0.335938,149.261414,1.561469,25.046091,84.510139,0.884087,14.180816,5.707517,91.549019,176.619535,0.062344,0.000000,0.042969,0.328125,620.626437,5.443346,23.569689,95.500126,0.837606,3.626833,18.613981,80.598540,649.869756,0.230947,0.371289,20.001077,36.763918,1.264480,1.413976,0.643751,0.275943,0.715174,17.862366,325.000000,36.151620,97.503869,3.557767,1.413976,1.148164,0.920557,0.759073,0.507360,0.387839,0.353864,0.258342,0.277738,0.226273,0.216233,0.179385,0.232635,0.219089,0.195739,0.169909,0.212979,0.188000,0.271886,0.193339,
13,402.945570,29.539001,149.712777,11.094701,28.709946,34.000000,4.576043,,,10.191781,150.000000,0.003906,0.054688,0.335938,186.533517,1.828289,23.103369,87.940511,0.861940,10.891995,7.147399,90.318875,212.113296,0.079135,0.000000,0.042969,0.335938,827.356247,5.341328,18.556614,97.169742,0.627318,2.179401,22.164694,77.003641,851.454606,0.287840,0.380719,20.314853,36.459371,1.240636,1.324104,0.655685,0.261500,0.561669,19.207748,331.000000,36.278958,97.651897,3.631301,1.324104,1.043878,0.892617,0.650326,0.561105,0.578840,0.342551,0.396292,0.235756,0.258779,0.243417,0.220600,0.222537,0.217706,0.222847,0.236222,0.239487,0.200679,0.176680,0.180986,
14,395.471786,29.050972,152.537839,11.219148,28.022671,30.000000,3.957784,,,9.370370,145.000000,0.003906,0.136719,0.335938,167.905008,2.446153,19.455649,88.306214,1.286504,10.232302,11.001606,87.502044,190.139516,0.125730,0.000000,0.042969,0.328125,849.907192,5.118642,16.806301,97.466820,0.587003,1.927336,23.172561,76.083668,871.996428,0.304567,0.391059,19.828210,35.969324,1.291273,1.373564,0.639678,0.259118,0.495730,18.676979,350.000000,35.787022,97.772501,3.625156,1.373564,1.016308,0.853874,0.634690,0.503100,0.422338,0.332158,0.329173,0.303154,0.288133,0.249955,0.280351,0.297611,0.304190,0.243940,0.243724,0.237191,0.209723,0.203093,0.280130,
15,387.688364,29.205437,155.641499,11.716508,28.293575,31.000000,4.015544,,,8.988372,125.000000,0.003906,0.140625,0.375000,136.891969,3.649013,14.911894,88.006388,2.345911,9.586698,19.559673,79.931698,155.547765,0.244705,0.000000,0.042969,0.339844,759.066047,4.910832,14.003018,97.548780,0.631099,1.799550,25.746318,73.414471,778.139968,0.350698,0.403121,20.019832,36.035724,1.309618,1.426911,0.618262,0.240956,0.520155,18.956458,384.000000,36.492969,97.697739,3.617638,1.426911,1.037399,0.894853,0.627945,0.515342,0.535521,0.412661,0.362350,0.317922,0.285097,0.272029,0.362101,0.226432,0.315755,0.331644,0.182427,0.205335,0.203811,0.324100,0.359178,
