Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,591.973467,85.847573,103.276542,13.622854,26.182865,50.000000,9.900990,,,14.457143,460.000000,0.003906,0.070312,0.398438,1159.018618,299.800780,144.566396,72.064841,18.640853,8.988772,66.729003,32.177273,1608.299690,2.073793,0.000000,0.042969,0.152344,6728.506530,328.869583,127.194263,93.640264,4.576860,1.770156,71.966201,27.833793,7185.484357,2.585569,0.360724,18.548797,118.227682,0.530666,0.266071,1.601188,1.427813,1.269311,57.053736,496.000000,55.163172,99.738731,4.076371,0.266071,0.330900,0.373554,0.427362,0.452751,0.492892,0.554354,0.509281,0.656449,0.548530,0.490573,0.643762,0.508671,0.735256,0.391978,0.411770,0.533401,0.484135,0.652325,0.411318,
2,563.932720,71.171038,108.106720,13.664152,23.388056,42.000000,7.909605,,,15.200000,365.000000,0.003906,0.070312,0.343750,2061.876874,247.705882,101.522463,85.396127,10.259159,4.204725,70.249580,28.791849,2414.485219,2.439912,0.000000,0.042969,0.152344,3690.305952,139.731742,76.300437,94.450201,3.576314,1.952844,64.440420,35.187654,3907.144612,1.831336,0.375180,16.555556,99.185582,0.520458,0.254768,1.398564,0.952041,0.933924,58.689189,522.000000,47.743384,99.768745,4.304469,0.254768,0.312095,0.376670,0.408274,0.489086,0.544186,0.519698,0.521439,0.633046,0.598431,0.610914,0.617099,0.782847,0.829404,0.696620,0.583130,0.848488,0.525102,0.745500,0.568944,
3,543.049983,73.430443,112.471480,14.801408,21.529009,38.000000,6.884058,,,13.825000,265.000000,0.003906,0.070312,0.343750,1828.079099,161.519323,52.533003,89.457036,7.903947,2.570702,74.968927,24.383106,2043.527459,3.074626,0.000000,0.042969,0.152344,3896.815174,114.161563,65.530466,95.575614,2.799995,1.607239,63.285503,36.326837,4077.206509,1.742114,0.387735,15.239289,102.639048,0.406465,0.178914,1.139043,0.891240,0.955423,68.474952,543.000000,48.125270,99.813228,4.416840,0.178914,0.206029,0.236568,0.276403,0.324511,0.313277,0.349916,0.373363,0.399825,0.393399,0.433219,0.372789,0.523961,0.450569,0.679624,0.607506,0.692106,0.658056,0.479333,0.614706,
4,521.723429,73.636962,117.191414,15.658640,18.593958,31.000000,5.391304,,,13.395349,275.000000,0.003906,0.062500,0.242188,1371.969457,82.454947,18.900072,93.101201,5.595354,1.282550,81.106208,18.590918,1473.632386,4.362679,0.000000,0.042969,0.152344,4117.085502,95.116392,44.362826,96.711316,2.234307,1.042093,67.939239,31.687247,4257.087649,2.144056,0.395959,13.161994,103.201602,0.304662,0.149462,0.976329,0.950625,1.016898,82.762437,566.000000,50.783075,99.865247,4.532336,0.149462,0.150592,0.169724,0.188548,0.203994,0.236527,0.250808,0.282171,0.207672,0.263369,0.295034,0.234198,0.294242,0.331299,0.370085,0.369469,0.327369,0.231672,0.352674,0.312285,
5,499.860840,68.015848,122.124586,15.524445,14.055442,15.000000,2.504174,,,12.500000,240.000000,0.003906,0.082031,0.246094,1062.085887,40.175485,5.594764,95.865330,3.626294,0.504991,87.704575,12.213578,1107.893629,7.180908,0.000000,0.042969,0.152344,5865.232129,67.539626,29.303078,98.369739,1.132752,0.491462,69.482892,30.146193,5962.435375,2.304865,0.404836,9.951153,95.466162,0.249880,0.144764,0.939513,0.895493,1.182734,89.001957,590.000000,52.119067,99.932982,4.664998,0.144764,0.133251,0.145405,0.149844,0.162856,0.187931,0.191706,0.251898,0.211004,0.235475,0.238890,0.243390,0.216419,0.258099,0.217382,0.283984,0.265716,0.341968,0.247278,0.237302,
6,479.807308,59.381506,126.847328,14.647617,8.543994,3.000000,0.480000,,,9.484848,220.000000,0.003906,0.042969,0.328125,826.529129,28.250198,3.076761,96.345423,3.293020,0.358647,90.106746,9.813627,857.881052,9.181798,0.000000,0.042969,0.152344,23978.240561,54.930618,16.251581,99.703490,0.228406,0.067575,77.031343,22.790224,24049.549999,3.380017,0.418983,6.052471,83.494169,0.203092,0.142243,0.851593,1.007112,1.271923,101.850251,616.000000,53.268153,99.948714,4.857112,0.142243,0.121442,0.122782,0.122203,0.127637,0.148691,0.155550,0.163831,0.167080,0.183854,0.191086,0.165189,0.180131,0.173339,0.166429,0.220359,0.224257,0.206721,0.207714,0.235879,
7,461.626352,50.681397,131.467802,13.676989,4.571555,0.000000,0.000000,,,8.904110,175.000000,0.003906,0.042969,0.328125,610.310069,21.353151,2.656919,96.209965,3.366135,0.418840,88.815404,11.051077,634.352240,8.036810,0.000000,0.042969,0.152344,2149.038288,16.828794,3.955691,99.040955,0.775575,0.182303,80.869505,19.008778,2169.848103,4.254324,0.433399,3.240311,71.498329,0.222664,0.176107,0.786615,1.208925,1.401462,110.497477,640.000000,53.326876,99.952535,4.912550,0.176107,0.140965,0.141249,0.128893,0.122173,0.139660,0.164100,0.146693,0.148334,0.140919,0.129720,0.176158,0.173537,0.207757,0.149982,0.148720,0.152841,0.190921,0.171079,0.095689,
8,445.472604,45.984080,136.053009,13.307080,4.387131,0.000000,0.000000,,,9.361111,185.000000,0.003906,0.042969,0.328125,467.788348,13.651474,2.638395,96.629721,2.819947,0.545006,83.671008,16.170937,484.104004,5.174159,0.000000,0.042969,0.152344,27209.902960,13.194859,2.986272,99.940493,0.048464,0.010968,81.442228,18.432076,27226.104455,4.418506,0.447436,3.109914,64.808721,0.226639,0.177901,0.850506,1.151736,1.456921,124.137824,664.000000,54.207700,99.944101,4.946148,0.177901,0.131759,0.128048,0.120369,0.124003,0.140460,0.155573,0.155953,0.140106,0.180242,0.137896,0.161753,0.168496,0.145040,0.147095,0.166838,0.162372,0.153954,0.145088,0.118824,
9,430.179985,39.904626,140.636351,12.576500,4.176880,0.000000,0.000000,,,9.293333,175.000000,0.003906,0.042969,0.312500,334.832397,6.614141,2.736282,97.279673,1.921623,0.794979,70.639390,29.223641,344.195645,2.417200,0.000000,0.042969,0.152344,1074.943615,9.040688,2.255567,98.958389,0.832278,0.207646,79.902984,19.935043,1086.258195,4.008167,0.463843,2.959628,56.241511,0.247068,0.192104,0.902943,0.926243,1.538448,133.749733,687.000000,52.889231,99.905731,4.863376,0.192104,0.138353,0.136709,0.129542,0.124479,0.130539,0.138190,0.161179,0.150440,0.138631,0.142095,0.125531,0.154749,0.178565,0.159849,0.192967,0.158119,0.121093,0.165168,0.167298,
10,417.809617,35.825670,144.628016,11.977659,4.037453,0.000000,0.000000,,,6.353982,135.000000,0.003906,0.054688,0.312500,216.667780,2.875043,2.691675,97.492461,1.293663,1.211154,51.590921,48.300494,222.240548,1.068124,0.000000,0.042969,0.152344,3609.345106,6.306277,1.930734,99.771859,0.174322,0.053371,76.409756,23.393667,3617.598341,3.266258,0.481142,2.859864,50.490078,0.257974,0.172016,0.849194,0.895452,1.445713,133.653040,708.000000,50.795634,99.870761,4.792613,0.172016,0.120775,0.112704,0.107153,0.123671,0.109767,0.117355,0.127624,0.143092,0.120754,0.157546,0.132832,0.159326,0.193667,0.160343,0.127880,0.187004,0.190860,0.211922,0.191609,
