Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,530.390971,62.576961,114.695860,13.433845,8.802958,0.000000,0.000000,,,15.694444,300.000000,0.003906,0.074219,0.179688,1184.058394,110.264755,129.983570,83.128483,7.741292,9.125679,45.883794,54.089263,1424.371468,0.848298,0.000000,0.042969,0.183594,38762.992777,122.285713,101.460332,99.425957,0.313659,0.260243,54.640359,45.335050,38986.793858,1.205256,0.289770,6.243427,87.760914,0.415993,0.318827,0.821168,1.453946,0.978047,69.780686,555.000000,50.043994,99.954752,4.752435,0.318827,0.430303,0.535656,0.543597,0.556820,0.572637,0.588888,0.539897,0.625602,0.543120,0.483665,0.428949,0.457353,0.492776,0.349123,0.384980,0.757483,0.475812,0.283940,0.617667,
2,509.009203,65.201407,119.825819,15.351032,7.624853,0.000000,0.000000,,,14.750000,295.000000,0.003906,0.074219,0.160156,1308.183514,79.777695,81.771892,89.005538,5.427875,5.563555,49.369175,50.603252,1469.777658,0.975613,0.000000,0.042969,0.171875,5571.313419,78.025899,80.816255,97.227123,1.361660,1.410355,49.106383,50.862521,5730.204981,0.965473,0.305436,5.400699,91.963103,0.345931,0.246658,1.047049,1.418609,1.108202,68.573878,580.000000,49.788927,99.963110,4.543737,0.246658,0.326387,0.376656,0.379297,0.432002,0.415417,0.419047,0.418315,0.355484,0.375116,0.445219,0.350936,0.381465,0.455171,0.404497,0.335929,0.315751,0.455717,0.482243,0.573892,
3,487.999397,67.459436,125.285254,17.051181,6.501694,0.000000,0.000000,,,13.666667,250.000000,0.003906,0.074219,0.160156,1280.648509,54.823748,44.826006,92.778838,3.971803,3.247499,55.002268,44.971972,1380.323939,1.223034,0.000000,0.042969,0.167969,5490.001873,66.761594,55.618828,97.818848,1.189534,0.990996,54.536944,45.434520,5612.417227,1.200342,0.320558,4.607470,95.175745,0.273377,0.173981,0.953851,1.527980,1.093368,75.739022,605.000000,49.808842,99.955171,4.519718,0.173981,0.227312,0.261087,0.293966,0.311755,0.341344,0.362054,0.342625,0.422856,0.375765,0.432619,0.343320,0.335532,0.332577,0.344677,0.339856,0.401557,0.539231,0.502404,0.386576,
4,467.886176,62.486235,130.466754,16.836585,5.573047,0.000000,0.000000,,,7.630952,195.000000,0.003906,0.085938,0.203125,992.785315,43.335873,24.812216,93.574748,4.084613,2.338670,63.571246,36.398100,1060.954300,1.746554,0.000000,0.042969,0.164062,3908.181268,53.453462,38.208433,97.707590,1.336378,0.955241,58.295775,41.669709,3999.874812,1.398996,0.335874,3.948715,88.207612,0.239538,0.123461,0.801280,1.480303,1.128797,82.933560,631.000000,48.779242,99.944569,4.592419,0.123461,0.155459,0.164994,0.178398,0.195156,0.218445,0.225188,0.250483,0.181346,0.237053,0.221321,0.235601,0.239306,0.281234,0.246881,0.284521,0.231340,0.214731,0.367286,0.379106,
5,449.842462,59.037406,135.568123,16.806151,4.695129,0.000000,0.000000,,,6.806122,185.000000,0.003906,0.085938,0.273438,742.695587,34.313319,15.256038,93.741239,4.330944,1.925580,69.198100,30.766154,792.282669,2.249163,0.000000,0.042969,0.152344,2263.432288,34.300990,22.065245,97.569120,1.478603,0.951160,60.825822,39.128220,2319.824441,1.554526,0.348144,3.326941,83.367582,0.187202,0.106117,0.693804,1.515391,1.153053,103.565764,657.000000,49.478017,99.977593,4.746786,0.106117,0.132422,0.147393,0.162339,0.168433,0.176493,0.179498,0.192684,0.164175,0.209377,0.180111,0.181024,0.217424,0.231890,0.223585,0.217628,0.247418,0.188781,0.239537,0.272975,
6,431.901276,51.679766,140.810780,15.901625,3.852205,0.000000,0.000000,,,7.393617,180.000000,0.003906,0.050781,0.226562,758.319030,22.036542,9.335026,96.026201,2.790495,1.182098,70.222343,29.747290,789.700128,2.360630,0.000000,0.042969,0.238281,4387.575623,21.633040,14.906750,99.173708,0.488978,0.336942,59.177431,40.777588,4424.131856,1.451224,0.357709,2.731512,72.919846,0.177423,0.107266,0.630549,1.531715,1.289545,125.611987,685.000000,50.779012,99.979076,5.022510,0.107266,0.133855,0.149731,0.162530,0.177637,0.176440,0.185597,0.191239,0.196653,0.222263,0.189438,0.201180,0.206664,0.210389,0.245856,0.254754,0.245301,0.248388,0.320091,0.343922,
7,417.171902,44.994980,145.400578,14.686880,3.347308,0.000000,0.000000,,,6.923077,180.000000,0.003906,0.089844,0.167969,676.023345,11.667554,5.285354,97.552822,1.683674,0.762697,68.800629,31.166405,692.981843,2.207525,0.000000,0.042969,0.152344,3493.423899,18.023529,8.716767,99.239889,0.512006,0.247623,67.359325,32.577170,3520.181188,2.067685,0.365800,2.375433,63.400894,0.165161,0.110969,0.551506,1.473723,1.235220,140.901133,710.000000,54.138206,99.981730,5.109249,0.110969,0.141127,0.158132,0.170148,0.175302,0.182918,0.202040,0.202118,0.202128,0.230042,0.216339,0.215691,0.240247,0.233290,0.345211,0.292347,0.328377,0.335165,0.311383,0.287771,
8,403.568725,38.452033,149.951820,13.477666,2.999767,0.000000,0.000000,,,6.633929,125.000000,0.003906,0.042969,0.308594,391.226743,6.688095,3.231374,97.525291,1.667213,0.805519,67.370075,32.550064,401.154141,2.069737,0.000000,0.042969,0.152344,2004.390806,12.320410,6.055169,99.090826,0.609083,0.299349,66.993003,32.925363,2022.781399,2.034693,0.371316,2.126251,54.265902,0.181955,0.135318,0.524217,1.346653,1.250810,163.879518,733.000000,55.562444,99.965926,5.205659,0.135318,0.151611,0.165125,0.172793,0.172081,0.181963,0.176319,0.201044,0.203763,0.238117,0.239326,0.221278,0.300435,0.280517,0.286397,0.289804,0.341766,0.306039,0.338706,0.291965,
9,392.121758,34.174632,154.102573,12.559839,2.896100,0.000000,0.000000,,,6.710526,170.000000,0.003906,0.042969,0.167969,184.861187,4.913290,2.781178,95.997765,2.551454,1.444256,63.750732,36.086242,192.568220,1.766622,0.000000,0.042969,0.152344,1654.361299,8.694666,4.433553,99.212051,0.521419,0.265880,66.174227,33.743325,1667.500350,1.961106,0.375630,2.052090,48.209757,0.184906,0.144425,0.568121,1.415918,1.189848,175.836580,755.000000,56.875157,99.964315,5.163084,0.144425,0.148950,0.155683,0.166525,0.169263,0.177449,0.183531,0.212859,0.237379,0.251174,0.251486,0.264917,0.324809,0.278703,0.262315,0.307440,0.348313,0.338985,0.346957,0.359178,
10,381.374335,28.143088,158.139207,11.077654,2.561744,0.000000,0.000000,,,5.829630,105.000000,0.003906,0.046875,0.167969,126.389778,3.610658,2.766131,95.186048,2.719241,2.083215,56.486662,43.274528,132.781831,1.305310,0.000000,0.042969,0.304688,7529.709906,4.644415,2.516762,99.904865,0.061623,0.033393,64.773618,35.100170,7536.880132,1.845393,0.380135,1.815934,39.646594,0.210084,0.188128,0.689219,1.248945,1.470132,122.327389,777.000000,56.696030,99.951628,4.913420,0.188128,0.182004,0.188110,0.189281,0.191596,0.184524,0.216784,0.250696,0.246271,0.223798,0.249936,0.277342,0.330215,0.308906,0.288899,0.419929,0.407039,0.453285,0.425447,0.440682,
11,371.986210,22.029469,161.850927,9.392047,2.581034,0.000000,0.000000,,,5.643357,90.000000,0.003906,0.046875,0.171875,106.805569,2.865928,2.835828,94.921283,2.547036,2.520284,50.151165,49.624432,112.520148,1.010614,0.000000,0.042969,0.300781,1273.301993,3.591721,2.507600,99.522555,0.280732,0.195997,58.798966,41.051157,1279.410470,1.432334,0.386785,1.827670,31.045541,0.277730,0.246558,0.745222,1.173342,1.282673,91.027027,797.000000,49.755969,99.919204,4.846958,0.246558,0.240323,0.244200,0.244467,0.224162,0.258199,0.215310,0.219578,0.234818,0.257828,0.294030,0.284735,0.298299,0.334823,0.362052,0.374277,0.428402,0.486237,0.430188,0.511984,
