Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,503.833090,60.257692,120.766683,14.210217,9.748878,2.000000,0.337268,,,12.122449,270.000000,0.003906,0.058594,0.171875,1025.116878,220.219257,51.641073,79.031314,16.977788,3.981265,80.967344,18.986716,1297.102157,4.264421,0.000000,0.042969,0.152344,3407.967439,203.853922,51.918715,93.016195,5.563937,1.417056,79.669129,20.290602,3663.843114,3.926405,0.300983,6.908918,84.411365,0.350549,0.244236,1.187922,1.496662,1.112013,43.750253,584.000000,50.598291,99.951490,4.395363,0.244236,0.339293,0.413776,0.483910,0.543712,0.511211,0.568023,0.601935,0.565289,0.603705,0.504769,0.608481,0.615419,0.550236,0.464607,0.526805,0.490525,0.662440,0.500181,0.577852,
2,487.298346,58.702817,124.899942,14.822297,9.914246,4.000000,0.650407,,,9.476923,235.000000,0.003906,0.058594,0.183594,902.300868,185.428793,23.669380,81.180654,16.683161,2.129551,88.648995,11.315755,1111.472774,7.834121,0.000000,0.042969,0.152344,2442.022594,151.030272,48.190776,92.453658,5.717925,1.824477,75.770813,24.176969,2641.347726,3.134008,0.297502,7.018707,82.654465,0.321155,0.196795,0.933513,1.559467,0.863680,47.955328,606.000000,48.397472,99.933827,4.332361,0.196795,0.257706,0.307226,0.370241,0.374098,0.389740,0.398604,0.351195,0.304126,0.349378,0.465759,0.307901,0.367338,0.450342,0.524729,0.350667,0.412029,0.473975,0.276170,0.411655,
3,470.387809,58.176973,129.446644,15.415833,9.353897,5.000000,0.784929,,,9.522388,230.000000,0.003906,0.085938,0.187500,903.112841,165.049073,10.693158,83.707767,15.298076,0.991128,93.897970,6.083438,1078.887752,15.435017,0.000000,0.042969,0.152344,2973.396959,102.179642,33.621647,95.629375,3.286267,1.081328,75.189858,24.740807,3109.292470,3.039103,0.292446,6.621881,81.944512,0.284335,0.166100,0.768729,1.345060,0.989350,63.686645,628.000000,49.452913,99.929468,4.496162,0.166100,0.195670,0.239999,0.265288,0.271746,0.280205,0.306325,0.304967,0.270400,0.306253,0.296735,0.366629,0.303844,0.328714,0.385933,0.538715,0.400417,0.392279,0.416076,0.402201,
4,452.300151,55.240474,134.560705,15.725543,7.516210,4.000000,0.604230,,,10.359375,215.000000,0.003906,0.085938,0.187500,982.082297,128.197695,5.210382,88.039512,11.492379,0.467089,96.086206,3.905264,1115.501755,24.604278,0.000000,0.042969,0.152344,3648.949923,81.943927,16.551719,97.370408,2.186633,0.441674,83.154823,16.796306,3747.493729,4.950780,0.289956,5.325104,77.677957,0.223982,0.149336,0.723514,1.406214,1.180724,81.552786,653.000000,52.030787,99.969444,4.626529,0.149336,0.183361,0.210517,0.232625,0.224907,0.269896,0.239709,0.253491,0.271270,0.260426,0.215157,0.270707,0.299462,0.329759,0.372197,0.354829,0.297320,0.307485,0.380289,0.296505,
5,435.202248,51.253053,139.712459,15.796802,9.459449,9.000000,1.306241,,,10.147059,210.000000,0.003906,0.082031,0.187500,782.979914,75.908232,3.189057,90.824415,8.805233,0.369925,95.963730,4.031629,862.080874,23.802721,0.000000,0.042969,0.152344,2601.895624,61.509536,7.972150,97.398389,2.302525,0.298426,88.503799,11.470833,2671.394941,7.715551,0.288458,6.696384,72.044876,0.239595,0.158941,0.788516,1.272142,1.054222,76.644978,680.000000,52.421398,99.814076,4.517076,0.158941,0.176432,0.179831,0.203940,0.175273,0.229110,0.233208,0.222261,0.210284,0.219586,0.194455,0.272847,0.316619,0.300383,0.305915,0.338222,0.368552,0.316766,0.432648,0.314934,
6,419.161493,47.419026,144.905076,15.713954,10.598079,12.000000,1.678322,,,9.298701,215.000000,0.003906,0.085938,0.191406,430.140559,31.779894,2.829936,92.550624,6.837879,0.608899,91.791303,8.173830,464.762460,11.229901,0.000000,0.042969,0.152344,2159.257025,46.779735,5.677324,97.627451,2.115073,0.256691,89.147695,10.819223,2211.731444,8.239750,0.280405,7.501051,66.528485,0.231376,0.161262,0.958099,1.016481,1.166662,86.684600,706.000000,51.654000,99.848175,4.474013,0.161262,0.143293,0.187446,0.172373,0.212547,0.183334,0.207836,0.185575,0.245462,0.207611,0.215145,0.213053,0.263941,0.316270,0.328717,0.244460,0.385933,0.303338,0.389945,0.401640,
7,405.805327,42.142333,149.373277,14.750037,11.174190,13.000000,1.761518,,,8.494253,185.000000,0.003906,0.085938,0.199219,273.214545,11.868397,2.852825,94.879677,4.121558,0.990705,80.494107,19.348491,287.958975,4.160227,0.000000,0.042969,0.152344,1557.344201,30.908504,4.618779,97.767913,1.940393,0.289961,86.931794,12.990558,1592.899091,6.691921,0.273693,7.907806,58.995713,0.245866,0.174336,0.971248,0.798802,1.051645,89.711126,728.000000,51.844624,99.816129,4.471308,0.174336,0.144545,0.234575,0.204473,0.253613,0.229847,0.282631,0.258414,0.247799,0.298070,0.362320,0.336569,0.288163,0.289320,0.368473,0.411813,0.424164,0.376808,0.342083,0.404648,
8,392.045164,35.832932,154.297559,13.811458,12.518223,16.000000,2.094241,,,7.806122,170.000000,0.003906,0.085938,0.199219,315.842613,6.159135,2.603041,97.294239,1.897301,0.801858,70.120780,29.635214,324.626222,2.366130,0.000000,0.042969,0.152344,1624.546620,12.004533,4.237427,99.008347,0.731619,0.258251,73.777691,26.042460,1640.817844,2.832977,0.267534,8.858261,49.820877,0.284172,0.224230,0.925317,0.492864,1.190081,88.666460,746.000000,50.144523,99.805997,4.596004,0.224230,0.223084,0.231737,0.283929,0.265073,0.309918,0.278432,0.316124,0.323244,0.336344,0.392364,0.327482,0.439340,0.362663,0.403846,0.373342,0.353177,0.423902,0.418053,0.360717,
9,380.579915,31.825289,158.744588,13.103470,12.379200,16.000000,2.033037,,,8.565217,160.000000,0.003906,0.089844,0.226562,299.282313,3.762295,2.361541,97.987354,1.231804,0.773187,61.203246,38.416447,305.429527,1.593152,0.000000,0.042969,0.152344,1797.343664,7.716749,4.121137,99.344013,0.426525,0.227786,65.020410,34.724211,1809.211859,1.872481,0.262696,8.759570,44.077525,0.306857,0.252813,0.900303,0.478469,1.149834,68.633318,765.000000,49.434036,99.705986,4.632411,0.252813,0.186451,0.267962,0.209924,0.244715,0.242679,0.247450,0.239374,0.246694,0.289074,0.270669,0.263967,0.374779,0.273457,0.382120,0.357879,0.379212,0.350153,0.488361,0.463920,
10,371.384422,29.442607,162.549547,12.566503,12.309408,16.000000,1.982652,,,5.572414,130.000000,0.003906,0.093750,0.226562,203.277428,3.702132,3.031016,96.764070,1.762288,1.442823,54.460012,44.587595,210.075319,1.221416,0.000000,0.042969,0.152344,843.531667,5.737777,4.183365,98.834097,0.672278,0.490152,57.661620,42.040596,853.482440,1.371570,0.261680,8.709820,40.681112,0.348673,0.287095,0.885195,0.484161,1.086271,59.365798,567.000000,48.617092,99.768020,4.724185,0.287095,0.235360,0.265348,0.255192,0.246462,0.245756,0.179274,0.275880,0.239507,0.204190,0.204140,0.210627,0.185072,0.220393,0.285403,0.336828,0.273283,0.334307,0.356080,0.353514,
