Sample,meanrr,sdnn,meanhr,sdhr,rmssd,nn50,pnn50,sdann,sdnni,hrvtri,tinn,vlfpeakfft,lfpeakfft,hfpeakfft,vlfpowfft,lfpowfft,hfpowfft,vlfpowprfft,lfpowprfft,hfpowprfft,lfpownufft,hfpownufft,totpowfft,lfhffft,vlfpeakar,lfpeakar,hfpeakar,vlfpowar,lfpowar,hfpowar,vlfpowprar,lfpowprar,hfpowprar,lfpownuar,hfpownuar,totpowar,lfhfar,edr,sd1,sd2,apen,sampen,d2,dfa1,dfa2,rplmean,rplmax,rprec,rpadet,rpshen,mse-1,mse-2,mse-3,mse-4,mse-5,mse-6,mse-7,mse-8,mse-9,mse-10,mse-11,mse-12,mse-13,mse-14,mse-15,mse-16,mse-17,mse-18,mse-19,mse-20,
1,501.013306,61.866856,121.560676,14.811271,6.355677,1.000000,0.167504,,,11.725490,300.000000,0.003906,0.054688,0.300781,652.508839,67.894703,20.753642,88.031511,9.159835,2.799923,76.532930,23.394123,741.221898,3.271460,0.000000,0.042969,0.152344,5292.459466,85.151018,23.748340,97.983082,1.576462,0.439670,78.161905,21.799099,5401.401307,3.585557,0.505303,4.522521,86.538873,0.229462,0.165999,0.976787,1.431400,1.601113,85.439323,588.000000,52.379648,99.960378,4.728863,0.165999,0.203695,0.227777,0.238438,0.272252,0.287340,0.300491,0.340138,0.371554,0.422798,0.367369,0.456884,0.539988,0.461440,0.496710,0.590285,0.579374,0.667390,0.663084,0.748245,
2,478.423732,61.089563,127.518472,16.642408,5.150460,0.000000,0.000000,,,9.358209,205.000000,0.003906,0.054688,0.289062,764.034878,44.968556,14.509129,92.765211,5.459852,1.761624,75.466644,24.349354,823.622205,3.099328,0.000000,0.042969,0.152344,2689.261915,35.305156,16.326209,98.114830,1.288071,0.595644,68.326506,31.596314,2740.933160,2.162483,0.497939,3.650280,86.241027,0.191611,0.132803,0.945794,1.397931,1.292316,90.887736,617.000000,50.471822,99.957461,4.628751,0.132803,0.156201,0.176558,0.190142,0.227096,0.232088,0.259315,0.290373,0.349448,0.402866,0.377333,0.386479,0.385181,0.463765,0.437068,0.598989,0.635172,0.577537,0.518424,0.443023,
3,459.428606,61.180826,132.923973,17.614306,4.654908,0.000000,0.000000,,,7.879518,200.000000,0.003906,0.054688,0.289062,948.986174,28.715062,9.768738,96.090743,2.907578,0.989145,74.376759,25.302646,987.593748,2.939485,0.000000,0.042969,0.308594,4640.153610,26.661912,11.303979,99.187809,0.569924,0.241634,70.171225,29.750831,4678.149116,2.358631,0.494494,3.300901,86.350016,0.155122,0.091816,0.793223,1.297992,1.312600,113.345455,644.000000,50.968572,99.959442,4.830612,0.091816,0.095538,0.104091,0.123946,0.141278,0.156540,0.175968,0.205785,0.195640,0.230868,0.273832,0.258636,0.277215,0.269765,0.319530,0.318909,0.342504,0.383858,0.355350,0.445246,
4,440.423951,57.395586,138.524912,17.698483,4.164211,0.000000,0.000000,,,8.407407,165.000000,0.003906,0.042969,0.289062,1012.595098,15.734051,5.099534,97.975818,1.522382,0.493416,75.209724,24.376081,1033.515333,3.085390,0.000000,0.042969,0.320312,3020.595829,16.366156,6.585630,99.245034,0.537728,0.216378,71.225537,28.660669,3043.573763,2.485132,0.497212,2.951390,81.059337,0.136199,0.097007,0.754129,1.340264,1.353297,136.784933,671.000000,49.878206,99.958267,4.930802,0.097007,0.084696,0.094023,0.104808,0.106976,0.119093,0.148048,0.166401,0.162631,0.190374,0.199762,0.208107,0.224084,0.202558,0.241703,0.242136,0.297425,0.306564,0.256631,0.297831,
5,424.869008,53.584587,143.379391,17.214071,4.352984,0.000000,0.000000,,,6.086207,165.000000,0.003906,0.042969,0.187500,907.113787,7.117269,2.029042,98.997794,0.776743,0.221439,77.503325,22.095203,916.296966,3.507699,0.000000,0.042969,0.328125,3841.422356,10.559701,4.562142,99.607295,0.273811,0.118295,69.724237,30.123192,3856.567306,2.314636,0.501660,3.083717,75.665951,0.138074,0.097817,0.648377,0.977027,1.423878,137.813424,696.000000,49.897799,99.945546,5.020846,0.097817,0.072332,0.072784,0.083563,0.094349,0.111962,0.138193,0.156347,0.166659,0.184950,0.194773,0.190041,0.204574,0.212996,0.251271,0.270297,0.251033,0.278441,0.291965,0.282580,
6,410.214283,48.826377,148.203664,16.377551,4.441538,0.000000,0.000000,,,5.503759,170.000000,0.003906,0.082031,0.187500,787.943169,3.213179,0.817043,99.489897,0.405713,0.103164,79.535453,20.224175,791.983102,3.932692,0.000000,0.042969,0.316406,3090.471225,7.939773,2.882416,99.650559,0.256014,0.092942,73.263770,26.597317,3101.308468,2.754555,0.504240,3.146544,68.894117,0.146201,0.116706,0.552643,1.028885,1.497828,189.389902,722.000000,51.679934,99.971867,5.534035,0.116706,0.062197,0.061185,0.067430,0.072651,0.088670,0.100182,0.109621,0.124634,0.117445,0.140645,0.134783,0.178413,0.175285,0.172099,0.205335,0.216759,0.193722,0.206418,0.229707,
7,396.144253,41.312155,152.991536,14.756127,4.502334,0.000000,0.000000,,,5.573529,135.000000,0.003906,0.046875,0.187500,553.476398,2.000741,0.499694,99.549702,0.359859,0.089876,79.915578,19.959279,555.979967,4.003931,0.000000,0.042969,0.152344,20850119.601448,4.370822,0.995810,99.999974,0.000021,0.000005,81.292700,18.521027,20850124.978096,4.389211,0.502629,3.189020,58.218966,0.162302,0.134467,0.478992,0.813256,1.582686,243.295666,748.000000,56.042681,99.980280,5.898656,0.134467,0.068865,0.060533,0.061654,0.076093,0.084320,0.099004,0.114954,0.120817,0.135750,0.159681,0.180337,0.178612,0.180957,0.202384,0.180923,0.231652,0.212979,0.234346,0.218762,
8,384.267966,33.998475,157.275265,12.874540,4.649441,0.000000,0.000000,,,5.916667,115.000000,0.003906,0.042969,0.355469,262.388210,1.891863,0.372967,99.141740,0.714829,0.140923,83.288150,16.419642,264.659677,5.072471,0.000000,0.042969,0.152344,2189.401642,3.252618,0.577630,99.825058,0.148302,0.026337,84.772199,15.054632,2193.238535,5.630971,0.507954,3.291639,47.886585,0.234433,0.198493,0.444513,0.642361,1.580049,225.309227,771.000000,60.693240,99.909876,5.546365,0.198493,0.086367,0.074932,0.071474,0.065877,0.078623,0.088707,0.093759,0.105297,0.113728,0.116828,0.131407,0.142614,0.161182,0.164695,0.195144,0.190410,0.196927,0.192311,0.194843,
9,374.246878,26.956272,161.097249,10.805842,4.912002,0.000000,0.000000,,,4.860606,85.000000,0.003906,0.042969,0.355469,95.664829,1.625875,0.357951,97.955402,1.664804,0.366522,81.424508,17.926336,97.661617,4.542172,0.000000,0.042969,0.398438,1561.836608,2.168126,0.437444,99.833067,0.138587,0.027962,83.019513,16.750144,1564.448194,4.956346,0.522230,3.476605,37.892483,0.327510,0.290025,0.390548,0.472189,1.634013,193.024641,792.000000,59.865564,99.879935,5.412723,0.290025,0.124703,0.111766,0.083814,0.088478,0.103114,0.110102,0.115801,0.117319,0.127285,0.152883,0.164300,0.158053,0.172638,0.193416,0.191093,0.206398,0.248653,0.241200,0.252709,
10,365.581108,20.602182,164.616874,8.811988,5.275916,0.000000,0.000000,,,4.390374,95.000000,0.003906,0.046875,0.367188,64.790366,0.939525,0.434487,97.902013,1.419677,0.656536,67.668507,31.293589,66.178788,2.162376,0.000000,0.042969,0.398438,1739.499840,1.769402,0.401821,99.874958,0.101592,0.023071,81.246191,18.450542,1741.677667,4.403458,0.538708,3.733717,28.808431,0.541978,0.484663,0.199175,0.517674,1.747078,135.205818,811.000000,56.562280,99.698611,4.707956,0.484663,0.247849,0.171597,0.151807,0.121143,0.139565,0.121121,0.160571,0.161539,0.175021,0.199533,0.201562,0.232987,0.230777,0.228708,0.267686,0.291627,0.278682,0.274578,0.260577,
