tod,tot,level,vo2_L,vo2_mlkgmin,vco2_L,rq,ve_stpd,ve_btps,vt_L,rr,pef,veo2,veco2,Ti_sec,Te_sec,Ttot_sec,Ti_Ttot,vt_Ti,speed,grade,hr,o2pulse,peto2,petco2,fio2,feo2,fico2,feco2,ID,tod_1,tod_2,tod_3,epoch
13:41:18,0.100:00:00,E,.683,7.9,.717,1.05,24.2,29.3,2.14,14,1.15,43,41,1.79,2.58,4.38,41,1.19,0,0,89,7.7,114.5,36.5,20.94,18.1,.05,3.01,218, , , ,0
13:41:22,0.200:00:04,E,.791,9.2,.863,1.09,20.5,24.9,1.764,14,1.15,31,29,2.12,2.13,4.26,50,.83,0,0,89,8.9,112.3,38.4,20.93,17,.08,4.28,218,4,4,.4,0
13:41:25,0.200:00:07,E,.84,9.7,.898,1.07,21.5,26,1.221,21,1.09,31,29,1.35,1.46,2.82,48,.9,3,2,102,8.2,110.9,39.3,20.91,16.95,.09,4.27,218,3,7,.7,0
13:41:27,0.300:00:09,E,.833,9.6,.868,1.04,21.3,25.8,1.07,24,1.23,31,30,1.21,1.27,2.49,49,.89,3,2,102,8.2,111.6,38.4,20.92,16.98,.09,4.16,218,2,9,.9,0
13:41:31,0.300:00:14,E,.987,11.4,1.088,1.1,23.2,28.1,1.823,15,1.1,29,26,1.63,2.15,3.89,42,1.12,3,2,95,10.4,108.7,40.6,20.92,16.59,.07,4.75,218,4.99999999999272,13.9999999999927,1.39999999999927,1
13:41:35,0.400:00:17,E,.772,8.9,.818,1.06,19.8,24,1.424,17,1.1,31,29,1.64,1.92,3.56,46,.87,3,2,88,8.8,111.1,38.8,20.92,16.98,.09,4.21,218,3.00000000000728,17,1.7,1
13:41:38,0.500:00:21,E,.983,11.4,1.064,1.08,21.8,26.3,1.704,15,1.46,27,25,1.78,1.8,3.88,46,.96,3.1,2,100,9.8,108.3,40.8,20.92,16.32,.09,4.98,218,3.99999999999272,20.9999999999927,2.09999999999927,2
13:41:42,0.500:00:24,E,.927,10.7,.965,1.04,22.5,27.2,1.618,17,1.26,29,28,1.78,1.78,3.57,50,.91,3.1,2,100,9.3,110.6,39.1,20.93,16.77,.08,4.38,218,3.00000000000728,24,2.4,2
13:41:46,0.600:00:28,E,1.198,13.9,1.173,.98,26.5,32,1.687,19,1.25,27,27,1.2,1.96,3.16,38,1.41,3.1,2,105,11.4,108,40.5,20.91,16.41,.09,4.52,218,4,28,2.8,2
13:41:48,0.600:00:30,E,.594,6.9,.594,1,15.1,18.3,.896,20,1.08,31,31,1.74,1.16,2.94,59,.51,3.1,2,100,5.9,109.6,38.6,20.91,16.99,.08,4.01,218,2.00000000001455,30.0000000000146,3.00000000000146,3
13:41:52,0.700:00:34,E,1.086,12.6,.997,.92,21.9,26.5,1.292,21,1.21,24,27,1.31,1.58,2.92,45,.98,3.1,2,100,10.9,102.6,42.1,20.92,16.06,.08,4.63,218,3.99999999998545,34,3.4,3
13:41:55,0.700:00:37,E,1.196,13.8,1.056,.88,22.8,27.6,1.705,16,1.29,23,26,1.63,2.07,3.71,44,1.04,3.1,2,101,11.8,99.8,42.2,20.92,15.79,.08,4.72,218,3.00000000000728,37.0000000000073,3.70000000000073,3
13:41:59,0.800:00:41,E,.705,8.2,.663,.94,15.6,18.9,1.029,18,1.25,27,28,1.9,1.28,3.27,58,.54,3.2,2,107,6.6,104.1,39.2,20.91,16.45,.08,4.33,218,3.99999999999272,41,4.1,4
13:42:00,0.800:00:42,E,1.904,22,1.501,.79,27.3,33,.867,38,1.48,17,22,.56,.89,1.58,36,1.55,3.2,2,107,17.8,94.2,44.5,20.91,14.24,.12,5.62,218,1,42,4.2,4
13:42:06,0.900:00:48,E,.868,10,.764,.88,14.2,17.2,1.645,10,1.58,20,23,2.98,2.18,5.74,52,.55,3.2,2,108,8,92.9,45.3,20.92,14.97,.08,5.45,218,6,48,4.8,4
13:42:08,0.900:00:50,E,1.261,14.6,.976,.77,17.1,20.6,1.041,20,1.42,16,21,1.1,1.33,3.02,37,.94,3.2,2.5,105,12,88.2,46.1,20.93,13.89,.07,5.8,218,2,50,5,5
13:42:15,1.100:00:57,E,1.819,21,1.514,.83,33.9,41.1,4.224,10,2.97,23,27,2.17,4,6.17,35,1.95,3.3,2.5,109,16.7,95.2,44.1,20.93,15.76,.08,4.54,218,7,57,5.7,5
13:42:18,1.100:01:00,E,1.683,19.5,1.296,.77,26.9,32.6,1.491,22,1.38,19,25,1.3,1.44,2.74,48,1.14,3.3,2.5,109,15.4,94.9,43.4,20.92,14.97,.09,4.9,218,3,60,6,6
13:42:21,1.200:01:04,E,.719,8.3,.594,.83,11.7,14.1,.904,16,1.25,20,24,1.98,1.72,3.84,51,.46,3.3,2.5,99,7.3,86.8,46.3,20.92,14.99,.1,5.18,218,3.99999999999272,63.9999999999927,6.39999999999927,6
13:42:25,1.200:01:07,E,1.741,20.1,1.177,.68,23.1,27.9,1.566,18,1.25,16,24,1.42,1.9,3.37,42,1.1,3.3,2.5,85,20.5,85.6,45.7,20.92,13.88,.08,5.19,218,3.00000000000728,67,6.7,6
13:42:28,1.300:01:11,E,1.655,19.2,1.185,.72,23.7,28.7,1.703,17,1.29,17,24,1.68,1.87,3.56,47,1.01,3.3,2.5,85,19.5,89.8,44,20.92,14.36,.09,5.09,218,3.99999999999272,70.9999999999927,7.09999999999927,7
13:42:31,1.300:01:13,E,1.646,19,1.334,.81,26.6,32.2,1.461,22,1.54,20,24,1.36,1.23,2.72,50,1.07,3.3,2.5,85,19.4,92.1,42.8,20.91,14.98,.11,5.12,218,2.00000000000728,73,7.3,7
13:42:34,1.400:01:16,E,2.207,25.5,1.66,.75,35.9,43.5,2.053,21,1.91,20,26,1.34,1.49,2.83,47,1.54,3.4,2.5,95,23.2,95.5,41.7,20.93,15.1,.07,4.69,218,3,76,7.6,7
